"","treatment","phyto","bkgrd","reps","combos"
"589","D","TACA","ANAR",13,"TACA_ANAR_D"
"590","D","TACA","AVBA",9,"TACA_AVBA_D"
"591","D","TACA","BRHO",12,"TACA_BRHO_D"
"592","D","TACA","BRNI",10,"TACA_BRNI_D"
"593","D","TACA","CESO",8,"TACA_CESO_D"
"594","D","TACA","CLPU",9,"TACA_CLPU_D"
"595","D","TACA","GITR",13,"TACA_GITR_D"
"596","D","TACA","LENI",10,"TACA_LENI_D"
"597","D","TACA","LOMU",9,"TACA_LOMU_D"
"598","D","TACA","MAEL",16,"TACA_MAEL_D"
"599","D","TACA","MICA",10,"TACA_MICA_D"
"600","D","TACA","PLER",19,"TACA_PLER_D"
"601","D","TACA","PLNO",9,"TACA_PLNO_D"
"602","D","TACA","TACA",10,"TACA_TACA_D"
"603","D","TACA","THIR",14,"TACA_THIR_D"
"604","D","TACA","TWIL",10,"TACA_TWIL_D"
"605","D","THIR","ACAM",9,"THIR_ACAM_D"
"606","D","THIR","AMME",8,"THIR_AMME_D"
"607","D","THIR","ANAR",9,"THIR_ANAR_D"
"608","D","THIR","AVBA",8,"THIR_AVBA_D"
"609","D","THIR","BRHO",7,"THIR_BRHO_D"
"610","D","THIR","BRNI",11,"THIR_BRNI_D"
"611","D","THIR","CESO",11,"THIR_CESO_D"
"612","D","THIR","CLPU",8,"THIR_CLPU_D"
"613","D","THIR","GITR",8,"THIR_GITR_D"
"614","D","THIR","LENI",6,"THIR_LENI_D"
"615","D","THIR","LOMU",10,"THIR_LOMU_D"
"616","D","THIR","MAEL",10,"THIR_MAEL_D"
"617","D","THIR","MICA",10,"THIR_MICA_D"
"618","D","THIR","PLER",10,"THIR_PLER_D"
"619","D","THIR","PLNO",9,"THIR_PLNO_D"
"620","D","THIR","TACA",8,"THIR_TACA_D"
"621","D","THIR","THIR",12,"THIR_THIR_D"
"622","D","THIR","TWIL",8,"THIR_TWIL_D"
"623","D","TWIL","ACAM",6,"TWIL_ACAM_D"
"624","D","TWIL","AMME",8,"TWIL_AMME_D"
"625","D","TWIL","ANAR",6,"TWIL_ANAR_D"
"626","D","TWIL","AVBA",2,"TWIL_AVBA_D"
"627","D","TWIL","BRHO",6,"TWIL_BRHO_D"
"628","D","TWIL","BRNI",4,"TWIL_BRNI_D"
"629","D","TWIL","CESO",1,"TWIL_CESO_D"
"630","D","TWIL","CLPU",5,"TWIL_CLPU_D"
"631","D","TWIL","GITR",4,"TWIL_GITR_D"
"632","D","TWIL","LENI",6,"TWIL_LENI_D"
"633","D","TWIL","LOMU",4,"TWIL_LOMU_D"
"634","D","TWIL","MAEL",4,"TWIL_MAEL_D"
"635","D","TWIL","MICA",3,"TWIL_MICA_D"
"636","D","TWIL","PLER",3,"TWIL_PLER_D"
"637","D","TWIL","PLNO",4,"TWIL_PLNO_D"
"638","D","TWIL","TACA",5,"TWIL_TACA_D"
"639","D","TWIL","THIR",6,"TWIL_THIR_D"
"640","D","TWIL","TWIL",12,"TWIL_TWIL_D"
