"","GITR","LENI","MICA","PLER","ACAM","AMME","MAEL","PLNO","TWIL","feasibility","niche_diff","fitness_diff","draw","comp"
"1",1,1,1,1,0,0,0,0,0,0,-2.8935157233811,40.7454584875549,491,"111100000"
"2",1,1,1,1,0,0,0,0,0,0,-2.03905890019983,53.9377637512503,3721,"111100000"
"3",1,1,1,1,0,0,0,0,0,0,-2.27178279448478,50.4159940796062,3402,"111100000"
"4",1,1,1,1,0,0,0,0,0,0,-2.44824077023531,32.0624569669841,368,"111100000"
"5",1,1,1,1,0,0,0,0,0,0,-3.80558653245086,38.4637336038599,1484,"111100000"
"6",1,1,1,1,0,0,0,0,0,0,-2.84773579549715,38.7461158824246,2487,"111100000"
"7",1,1,1,1,0,0,0,0,0,0,-2.29853386409269,38.1751103770793,1608,"111100000"
"8",1,1,1,1,0,0,0,0,0,0,-2.58695106844274,35.5630037719685,1462,"111100000"
"9",1,1,1,1,0,0,0,0,0,0,-3.54657436985405,38.3530641320143,3495,"111100000"
"10",1,1,1,1,0,0,0,0,0,0,-2.49245627787934,37.875331130256,3583,"111100000"
"11",1,1,1,1,0,0,0,0,0,0,-5.03384631825633,39.1946169155225,1747,"111100000"
"12",1,1,1,1,0,0,0,0,0,0,-2.63753873999353,36.2402653930019,344,"111100000"
"13",1,1,1,1,0,0,0,0,0,0,-3.3618966164925,37.8870592225661,3343,"111100000"
"14",1,1,1,1,0,0,0,0,0,0,-2.42343511327032,42.2470779465713,2191,"111100000"
"15",1,1,1,1,0,0,0,0,0,0,-2.55322665584134,25.9273816144839,2986,"111100000"
"16",1,1,1,1,0,0,0,0,0,0,-2.92867476860715,38.0309387627981,3527,"111100000"
"17",1,1,1,1,0,0,0,0,0,0,-3.54590334597311,31.2953535337341,3748,"111100000"
"18",1,1,1,1,0,0,0,0,0,0,-3.12190485904882,51.8017154910834,930,"111100000"
"19",1,1,1,1,0,0,0,0,0,0,-2.79922495348844,38.7918717589556,1560,"111100000"
"20",1,1,1,1,0,0,0,0,0,0,-2.89593540743757,29.4695978231476,1549,"111100000"
"21",1,1,1,1,0,0,0,0,0,0,-3.23831196952615,52.9210796019008,3423,"111100000"
"22",1,1,1,1,0,0,0,0,0,0,-4.32807365497262,48.9218188761155,3464,"111100000"
"23",1,1,1,1,0,0,0,0,0,0,-2.49092223231687,29.9755450545568,1646,"111100000"
"24",1,1,1,1,0,0,0,0,0,0,-3.22254828657179,31.0645660812572,2823,"111100000"
"25",1,1,1,1,0,0,0,0,0,0,-2.4756694891091,33.0347720841852,2022,"111100000"
"26",1,1,1,1,0,0,0,0,0,0,-2.93296325414544,33.5528544538693,1255,"111100000"
"27",1,1,1,1,0,0,0,0,0,0,-2.4661265753658,36.2606121066879,1691,"111100000"
"28",1,1,1,1,0,0,0,0,0,0,-2.06067311481212,39.6772731315858,3414,"111100000"
"29",1,1,1,1,0,0,0,0,0,0,-2.35444522840044,33.9372807388013,1362,"111100000"
"30",1,1,1,1,0,0,0,0,0,0,-2.17861381663606,31.4435952245926,2845,"111100000"
"31",1,1,1,1,0,0,0,0,0,0,-2.70679785240441,48.1132676760115,2333,"111100000"
"32",1,1,1,1,0,0,0,0,0,0,-1.92205460747678,41.2175556184733,2005,"111100000"
"33",1,1,1,1,0,0,0,0,0,0,-2.83186426430778,35.210766381775,2937,"111100000"
"34",1,1,1,1,0,0,0,0,0,0,-1.66783365046695,21.1120054048781,1628,"111100000"
