"","ACAM","AMME","ANAR","BRHO","BRNI","CESO","GITR","LENI","LOMU","MAEL","MICA","PLER","PLNO","TACA","THIR","TWIL","comp","richness","fdiv"
"1",1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,"1111111110001110",12,6.63182065545081
"2",0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,"0111111111001110",12,5.82271222778434
"3",0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,"0111111110101110",12,5.95059183627679
"4",0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,"0111111110011110",12,5.51907420169751
"5",0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,"0111111110001111",12,5.94175105919714
"6",1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,"1111111011001110",12,6.38028609539283
"7",1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,"1111111010101110",12,6.56913985707067
"8",1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,"1111111010011110",12,6.0939468264119
"9",1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,"1111111010001111",12,6.63344036410632
"10",0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,"0111111011101110",12,5.62820855947006
"11",0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,"0111111011011110",12,5.27502757977394
"12",0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,"0111111011001111",12,5.82002480491436
"13",0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,"0111111010111110",12,5.45654435922665
"14",0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,"0111111010101111",12,5.99310523072037
"15",0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,"0111111010011111",12,5.53726180849125
"16",1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,"1111110111001110",12,7.00423943247981
"17",1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,"1111110110101110",12,7.08867256207567
"18",1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,"1111110110011110",12,6.64155341458033
"19",1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,"1111110110001111",12,7.0139497053022
"20",0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,"0111110111101110",12,6.20323992028662
"21",0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,"0111110111011110",12,5.88991566424476
"22",0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,"0111110111001111",12,6.28666195716204
"23",0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,"0111110110111110",12,5.98686736111827
"24",0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,"0111110110101111",12,6.36707608251643
"25",0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,"0111110110011111",12,5.9438265586571
"26",1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,"1111110011101110",12,6.77239526927609
"27",1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,"1111110011011110",12,6.42067748682981
"28",1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,"1111110011001111",12,6.93661416712149
"29",1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,"1111110010111110",12,6.58185457124987
"30",1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,"1111110010101111",12,7.07658315594893
"31",1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,"1111110010011111",12,6.60595873481908
"32",0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,"0111110011111110",12,5.67697567190724
"33",0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,"0111110011101111",12,6.18237888355444
"34",0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,"0111110011011111",12,5.85385097812761
"35",0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,"0111110010111111",12,5.99775648529367
"36",1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,"1111011111001110",12,6.02721778468731
"37",1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,"1111011110101110",12,6.17149087345629
"38",1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,"1111011110011110",12,5.73691606760658
"39",1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,"1111011110001111",12,6.16265009637664
"40",0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,"0111011111101110",12,5.22822917698975
"41",0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,"0111011111011110",12,4.90646653459741
"42",0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,"0111011111001111",12,5.33777471544964
"43",0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,"0111011110111110",12,5.04855522701184
"44",0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,"0111011110101111",12,5.47631487439961
"45",0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,"0111011110011111",12,5.05939398603798
"46",1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,"1111011011101110",12,5.83271411637302
"47",1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,"1111011011011110",12,5.47752266590582
"48",1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,"1111011011001111",12,6.02453036181732
"49",1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,"1111011010111110",12,5.67438622513572
"50",1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,"1111011010101111",12,6.21400426789987
"51",1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,"1111011010011111",12,5.75510367440032
"52",0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,"0111011011111110",12,4.7252322532605
"53",0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,"0111011011101111",12,5.26096190429384
"54",0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,"0111011011011111",12,4.92187657032324
"55",0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,"0111011010111111",12,5.10229889248251
"56",1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,"1111010111101110",12,6.42256653331768
"57",1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,"1111010111011110",12,6.10629151016964
"58",1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,"1111010111001111",12,6.5059885701931
"59",1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,"1111010110111110",12,6.22638266091657
"60",1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,"1111010110101111",12,6.61136685076284
"61",1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,"1111010110011111",12,6.1833418584554
"62",0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,"0111010111111110",12,5.31045025558859
"63",0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,"0111010111101111",12,5.70526454459216
"64",0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,"0111010111011111",12,5.40952740837209
"65",0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,"0111010110111111",12,5.52348273763251
"66",1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,"1111010011111110",12,5.89335151783212
"67",1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,"1111010011101111",12,6.4017054965855
"68",1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,"1111010011011111",12,6.07022682405249
"69",1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,"1111010010111111",12,6.23727178509197
"70",0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,"0111010011111111",12,5.31416872474612
"71",1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,"1111111101001110",12,6.4376358171265
"72",1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,"1111111100101110",12,6.56947330125154
"73",1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,"1111111100011110",12,6.13118250513393
"74",1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,"1111111100001111",12,6.56063645697607
"75",0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,"0111111101101110",12,5.63475436495616
"76",0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,"0111111101011110",12,5.31240517773015
"77",0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,"0111111101001111",12,5.74819245448893
"78",0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,"0111111100111110",12,5.44281908081273
"79",0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,"0111111100101111",12,5.87429694958022
"80",0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,"0111111100011111",12,5.45366016864608
"81",1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,"1111111001101110",12,6.23924139909923
"82",1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,"1111111001011110",12,5.88346286803955
"83",1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,"1111111001001111",12,6.43495060248912
"84",1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,"1111111000111110",12,6.06865190816273
"85",1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,"1111111000101111",12,6.61198936223745
"86",1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,"1111111000011111",12,6.14937202396688
"87",0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,"0111111001111110",12,5.12794690766014
"88",0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,"0111111001101111",12,5.66748890886426
"89",0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,"0111111001011111",12,5.32781656659199
"90",0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,"0111111000111111",12,5.49656433324897
"91",1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,"1111110101101110",12,6.85744689444677
"92",1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,"1111110101011110",12,6.54103402016909
"93",1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,"1111110101001111",12,6.9476241996168
"94",1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,"1111110100111110",12,6.65381381475829
"95",1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,"1111110100101111",12,7.04411020190251
"96",1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,"1111110100011111",12,6.61077301229711
"97",0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,"0111110101111110",12,5.73979784079174
"98",0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,"0111110101101111",12,6.14014490572125
"99",0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,"0111110101011111",12,5.84426991837154
"100",0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,"0111110100111111",12,5.95091389147422
"101",1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,"1111110001111110",12,6.32269910303527
"102",1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,"1111110001101111",12,6.83658585771459
"103",1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,"1111110001011111",12,6.50496933405194
"104",1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,"1111110000111111",12,6.66470293893368
"105",0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,"0111110001111111",12,5.74351630994927
"106",1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,"1111011101101110",12,5.84614289057983
"107",1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,"1111011101011110",12,5.52136104382404
"108",1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,"1111011101001111",12,5.9595809801126
"109",1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,"1111011100111110",12,5.67058493402061
"110",1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,"1111011100101111",12,6.10587378797791
"111",1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,"1111011100011111",12,5.68142602185396
"112",0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,"0111011101111110",12,4.72229957906165
"113",0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,"0111011101101111",12,5.15456907853736
"114",0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,"0111011101011111",12,4.84476447091261
"115",0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,"0111011100111111",12,4.98697845351168
"116",1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,"1111011001111110",12,5.33690277375404
"117",1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,"1111011001101111",12,5.87887743448793
"118",1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,"1111011001011111",12,5.53677243268588
"119",1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,"1111011000111111",12,5.72433018645686
"120",0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,"0111011001111111",12,4.76865526892102
"121",1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,"1111010101111110",12,5.96574352731409
"122",1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,"1111010101101111",12,6.36975903513989
"123",1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,"1111010101011111",12,6.07021560489389
"124",1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,"1111010100111111",12,6.20612729639834
"125",0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,"0111010101111111",12,5.26699215032847
"126",1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,"1111010001111111",12,5.96946199647163
"127",1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,"1111111111001100",12,6.86356098742255
"128",1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,"1111111110101100",12,7.04741892074037
"129",1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,"1111111110011100",12,6.55184880984939
"130",1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,"1111111110001101",12,7.10151620693971
"131",0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,"0111111111101100",12,6.08973366088279
"132",0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,"0111111111011100",12,5.72201297886772
"133",0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,"0111111111001101",12,6.27376945495224
"134",0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,"0111111110111100",12,5.89579429021844
"135",0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,"0111111110101101",12,6.44660631166576
"136",0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,"0111111110011101",12,5.97168219432409
"137",1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,"1111111011101100",12,6.4987020237288
"138",1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,"1111111011011100",12,6.09706918851244
"139",1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,"1111111011001101",12,6.84116969823481
"140",1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,"1111111010111100",12,6.36055315745638
