"","ANAR","BRHO","CESO","LOMU","TACA","THIR","feasibility","niche_diff","fitness_diff","draw"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,1,1,0,1,0,0,-1.7848771869112,23.450089357557,491
"3",1,1,1,0,1,0,0,-2.11970466999468,20.4190499947734,3721
"4",1,1,1,0,1,0,0,-1.53613098400759,21.4547839038205,3402
"5",1,1,1,0,1,0,0,-1.80643495614039,22.7901253962168,368
"6",1,1,1,0,1,0,0,-2.469503711244,43.057725143598,1484
"7",1,1,1,0,1,0,0,-2.04773454058816,38.6052525378013,2487
"8",1,1,1,0,1,0,0,-3.34927396863863,61.1059025159533,1608
"9",1,1,1,0,1,0,0,-2.18807765829482,21.3895215767706,1462
"10",1,1,1,0,1,0,0,-2.38387242256326,33.8362510745989,3495
"11",1,1,1,0,1,0,0,-1.63946806844206,19.3540692809063,3583
"12",1,1,1,0,1,0,0,-2.59818271534212,39.0733917671134,1747
"13",1,1,1,0,1,0,0,-2.057330993318,25.8759576606527,344
"14",1,1,1,0,1,0,0,-2.54839954549001,29.9443247080793,3343
"15",1,1,1,0,1,0,0,-1.76220303739438,42.2760639251947,2191
"16",1,1,1,0,1,0,0,-2.07275527412116,36.5755620495553,2986
"17",1,1,1,0,1,0,0,-1.57009214705263,26.9660624811557,3527
"18",1,1,1,0,1,0,0,-2.11321041261767,46.3604529631321,3748
"19",1,1,1,0,1,0,0,-2.56540398403835,23.1851923714593,930
"20",1,1,1,0,1,0,0,-3.34365683652726,45.2774422228019,1560
"21",1,1,1,0,1,0,0,-3.07169653584799,42.6650849885855,1549
"22",1,1,1,0,1,0,0,-2.30711669038611,21.3501513205124,3423
"23",1,1,1,0,1,0,0,-1.79564861842667,27.5718616066398,3464
"24",1,1,1,0,1,0,0,-1.73088905946732,36.0265849578258,1646
"25",1,1,1,0,1,0,0,-3.31346173114201,23.0153175012141,2823
"26",1,1,1,0,1,0,0,-1.8561323678865,37.2160855257727,2022
"27",1,1,1,0,1,0,0,-1.88018507016974,24.3178836555505,1255
"28",1,1,1,0,1,0,0,-2.52986489252894,44.2104494663722,1691
"29",1,1,1,0,1,0,0,-2.66558457491954,27.5367658291528,3414
"30",1,1,1,0,1,0,0,-1.58281291423711,26.9424855720692,1362
"31",1,1,1,0,1,0,0,-0.860932371838037,51.1316012080476,2845
"32",1,1,1,0,1,0,0,-1.68964440292431,28.4405711343402,2333
"33",1,1,1,0,1,0,0,-2.30618680755807,26.5571275681614,2005
"34",1,1,1,0,1,0,0,-1.55146401521446,20.3713984001867,2937
"35",1,1,1,0,1,0,0,-1.87112052859121,19.9137778668629,1628
"36",1,1,1,0,1,0,0,-2.88392764854848,28.5839733998716,3122
"37",1,1,1,0,1,0,0,-1.90016298683062,17.1102956700152,666
"38",1,1,1,0,1,0,0,-1.52340088749022,29.6877059053799,1125
"39",1,1,1,0,1,0,0,-1.8283868883625,28.5756205733521,33
"40",1,1,1,0,1,0,0,-2.45780280198636,33.7141834696312,1671
"41",1,1,1,0,1,0,0,-2.29895300678369,26.5225045226957,2714
"42",1,1,1,0,1,0,0,-2.30513816738016,28.7012269172141,946
"43",1,1,1,0,1,0,0,-1.26428686498135,23.4075862472272,2718
"44",1,1,1,0,1,0,0,-2.27449591227042,27.6521652946712,2372
"45",1,1,1,0,1,0,0,-2.25260343318124,27.5654953731898,1117
"46",1,1,1,0,1,0,0,-2.81407278694813,42.5805344566845,3186
"47",1,1,1,0,1,0,0,-1.90040775712904,26.2496677919919,2648
"48",1,1,1,0,1,0,0,-2.58618134627302,37.931258846341,3379
"49",1,1,1,0,1,0,0,-2.27942382748071,42.446172562552,2742
"50",1,1,1,0,1,0,0,-2.24884200538234,48.9547930536217,2336
"51",1,1,1,0,1,0,0,-1.71283301825871,29.6324868519304,267
"52",1,1,1,0,1,0,0,-1.8022858597583,37.4011373977551,1359
"53",1,1,1,0,1,0,0,-1.7585890042441,42.7838633258712,1441
"54",1,1,1,0,1,0,0,-2.44483560022531,40.6648359523075,1962
"55",1,1,1,0,1,0,0,-2.60977899517531,38.1392868085319,3717
"56",1,1,1,0,1,0,0,-3.17395868663516,44.6876045851719,347
"57",1,1,1,0,1,0,0,-2.352699647795,36.2055243561715,2090
"58",1,1,1,0,1,0,0,-2.50392779496685,28.245041426562,3406
"59",1,1,1,0,1,0,0,-3.72257373816796,30.1734189654886,2061
"60",1,1,1,0,1,0,0,-2.00135398461063,33.5694304469849,3699
"61",1,1,1,0,1,0,0,-1.59984579233769,37.0744494994448,1385
"62",1,1,1,0,1,0,0,-1.91546917183226,16.0696947249475,729
"63",1,1,1,0,1,0,0,-1.63625499612289,36.8301326213036,712
"64",1,1,1,0,1,0,0,-2.49849756778071,47.1099093673379,656
"65",1,1,1,0,1,0,0,-1.55965519589788,38.9232214092344,1397
"66",1,1,1,0,1,0,0,-3.6055771987375,50.3423185639638,2074
"67",1,1,1,0,1,0,0,-1.55639038285945,28.0443524342565,857
"68",1,1,1,0,1,0,0,-2.49843924856182,41.4091195636863,2257
"69",1,1,1,0,1,0,0,-2.05723907299045,38.1390098887174,1072
"70",1,1,1,0,1,0,0,-2.29966436089088,28.6415827198316,1687
"71",1,1,1,0,1,0,0,-1.85334072163045,25.5023436528619,2575
"72",1,1,1,0,1,0,0,-1.99027891555114,34.9932693433371,3006
"73",1,1,1,0,1,0,0,-1.89413106654475,36.5519169448702,3732
"74",1,1,1,0,1,0,0,-1.24035020425338,23.5580766455451,482
"75",1,1,1,0,1,0,0,-2.59168810220511,30.8628751918005,1341
"76",1,1,1,0,1,0,0,-2.19411547621316,26.3051786058362,3204
"77",1,1,1,0,1,0,0,-3.36461300835119,33.4132315414639,1763
"78",1,1,1,0,1,0,0,-1.60740912803655,26.81745512391,2318
"79",1,1,1,0,1,0,0,-2.1849074907506,25.2977977169183,1059
"80",1,1,1,0,1,0,0,-1.90214373449241,37.2330066602086,1290
"81",1,1,1,0,1,0,0,-2.19371877007538,44.924591693318,3146
"82",1,1,1,0,1,0,0,-2.03391574584979,47.6338474161432,1594
"83",1,1,1,0,1,0,0,-1.76661117685454,28.0328639047373,2727
"84",1,1,1,0,1,0,0,-1.74871137730446,35.8444907598245,2960
"85",1,1,1,0,1,0,0,-1.71532687845245,32.4641428749904,3738
"86",1,1,1,0,1,0,0,-2.04468744723638,32.2634522841117,1567
"87",1,1,1,0,1,0,0,-2.4959054213301,33.9458046621027,1930
"88",1,1,1,0,1,0,0,-1.87414527109882,28.0815907033564,3714
"89",1,1,1,0,1,0,0,-2.13730083167972,45.78684965527,435
"90",1,1,1,0,1,0,0,-2.13553993497543,30.0472597191266,1461
"91",1,1,1,0,1,0,0,-1.96776267514132,29.9743361368911,2661
"92",1,1,1,0,1,0,0,-1.78895964047635,38.7832405690813,1967
"93",1,1,1,0,1,0,0,-2.05435606060237,37.2201367252915,2087
"94",1,1,1,0,1,0,0,-6.58794926612306,35.4171828970742,2137
"95",1,1,1,0,1,0,0,-1.81262030866075,21.5199491836872,2578
"96",1,1,1,0,1,0,0,-1.69923249624774,27.3705188205396,899
"97",1,1,1,0,1,0,0,-2.1790599701242,26.824286065277,3030
"98",1,1,1,0,1,0,0,-1.88775393857483,32.6555721155507,2602
"99",1,1,1,0,1,0,0,-2.48196435186563,23.5240323932983,394
"100",1,1,1,0,1,0,0,-2.18166248730015,32.9647110362953,3326
"101",1,1,1,0,1,0,0,-1.95017559309184,35.533477223135,2240
"102",1,1,1,0,1,0,0,-1.89787008532007,31.3831593677982,1979
"103",1,1,1,0,1,0,0,-1.64549467862778,29.1005366868512,1871
"104",1,1,1,0,1,0,0,-2.3063690095426,32.0325206479732,1013
"105",1,1,1,0,1,0,0,-2.13907214437797,48.6454255645393,2509
"106",1,1,1,0,1,0,0,-2.43646032366018,14.2563260254136,602
"107",1,1,1,0,1,0,0,-1.80314676249985,29.5381855532774,2794
"108",1,1,1,0,1,0,0,-1.30845272264531,30.3499989093267,3694
"109",1,1,1,0,1,0,0,-2.74505889062965,36.4925017894239,860
"110",1,1,1,0,1,0,0,-1.76727269141358,44.9961532842486,2978
"111",1,1,1,0,1,0,0,-2.07350375625484,36.3868140685497,1401
"112",1,1,1,0,1,0,0,-1.53663447879194,46.8987831645221,763
"113",1,1,1,0,1,0,0,-2.27147481576961,23.7353232730559,192
"114",1,1,1,0,1,0,0,-2.3192739114944,10.3198254951293,1028
"115",1,1,1,0,1,0,0,-1.84261285765054,49.0831195008458,2111
"116",1,1,1,0,1,0,0,-3.09496412199677,40.8411231996719,532
"117",1,1,1,0,1,0,0,-2.2554896388376,48.4034639299818,2623
"118",1,1,1,0,1,0,0,-1.64726480162987,48.2897016878188,2909
"119",1,1,1,0,1,0,0,-1.36992964651246,24.6240806802264,867
"120",1,1,1,0,1,0,0,-Inf,33.4570742296797,855
"121",1,1,1,0,1,0,0,-2.3657184850313,33.5942424075098,3071
"122",1,1,1,0,1,0,0,-1.33635731580464,15.1642890454058,1248
"123",1,1,1,0,1,0,0,-1.45265833277729,36.9859744922106,2801
"124",1,1,1,0,1,0,0,-2.58392931302772,39.606436067852,176
"125",1,1,1,0,1,0,0,-1.47524190171843,26.9951398785755,2142
"126",1,1,1,0,1,0,0,-1.67893523775689,37.2533652207038,1684
"127",1,1,1,0,1,0,0,-2.82644224286092,46.7821028363016,3254
"128",1,1,1,0,1,0,0,-2.25502969931733,20.054484238533,2873
"129",1,1,1,0,1,0,0,-1.71276208849979,14.7984569125346,3299
"130",1,1,1,0,1,0,0,-1.61391785346713,37.6390048027296,1532
"131",1,1,1,0,1,0,0,-2.98500836654051,34.8897902901656,3099
"132",1,1,1,0,1,0,0,-2.70276551126621,35.7815333212111,905
"133",1,1,1,0,1,0,0,-3.27235165522526,37.7989531079887,3152
"134",1,1,1,0,1,0,0,-3.09855655615582,30.8765129020705,1456
"135",1,1,1,0,1,0,0,-2.32259500245342,43.0339217605535,649
"136",1,1,1,0,1,0,0,-2.46624308747512,12.4174977632656,2525
"137",1,1,1,0,1,0,0,-2.05988584633571,18.6837153836174,3279
"138",1,1,1,0,1,0,0,-1.97871361883305,22.9081507100813,369
"139",1,1,1,0,1,0,0,-2.40708971247662,34.762618907852,1910
"140",1,1,1,0,1,0,0,-1.39943322801181,23.5137375707234,298
"141",1,1,1,0,1,0,0,-2.37885704601926,34.9193171889753,631
"142",1,1,1,0,1,0,0,-1.80073588640874,27.500393162208,457
"143",1,1,1,0,1,0,0,-2.64160681512983,31.5651248434763,2120
"144",1,1,1,0,1,0,0,-1.9039010193748,33.7473732805943,1374
"145",1,1,1,0,1,0,0,-2.89995148912545,38.2667805439861,1408
"146",1,1,1,0,1,0,0,-2.41840438464476,28.7516227500177,2660
"147",1,1,1,0,1,0,0,-9.12207805798403,37.6132226626677,2619
