"","ANAR","BRHO","CESO","LOMU","TACA","THIR","feasibility","niche_diff","fitness_diff","draw","comp"
"1",1,1,1,0,1,0,0,-1.85270524535504,37.9615067099204,491,"111010"
"2",1,1,1,0,1,0,0,-1.25811399321714,36.5460214961633,3721,"111010"
"3",1,1,1,0,1,0,0,-1.84793797933161,23.321823447012,3402,"111010"
"4",1,1,1,0,1,0,0,-3.22574712759189,31.8171219290894,368,"111010"
"5",1,1,1,0,1,0,0,-1.93902130501357,46.5350013204345,1484,"111010"
"6",1,1,1,0,1,0,0,-2.55339442081904,47.1875817164698,2487,"111010"
"7",1,1,1,0,1,0,0,-1.96801248130498,52.6958742534563,1608,"111010"
"8",1,1,1,0,1,0,0,-1.38354524175188,26.0600501838741,1462,"111010"
"9",1,1,1,0,1,0,0,-2.15105323963289,42.9852025792523,3495,"111010"
"10",1,1,1,0,1,0,0,-2.13029808834288,20.171354890376,3583,"111010"
"11",1,1,1,0,1,0,0,-1.39698269486508,37.7972237493398,1747,"111010"
"12",1,1,1,0,1,0,0,-1.82079885999139,47.291383120191,344,"111010"
"13",1,1,1,0,1,0,0,-1.37727689634612,38.9760784533246,3343,"111010"
"14",1,1,1,0,1,0,0,-1.74668607649764,38.5070130360686,2191,"111010"
"15",1,1,1,0,1,0,0,-2.30521921655475,38.8376595951551,2986,"111010"
"16",1,1,1,0,1,0,0,-1.60773997289017,37.2297968183016,3527,"111010"
"17",1,1,1,0,1,0,0,-1.70848310144635,48.4037928532343,3748,"111010"
"18",1,1,1,0,1,0,0,-1.81143737447919,26.3221476725909,930,"111010"
"19",1,1,1,0,1,0,0,-2.98559793730301,41.147702877143,1560,"111010"
"20",1,1,1,0,1,0,0,-1.96333992475629,50.0328063294696,1549,"111010"
"21",1,1,1,0,1,0,0,-1.71363852633172,22.416867895581,3423,"111010"
"22",1,1,1,0,1,0,0,-2.70082956956509,31.7552894964911,3464,"111010"
"23",1,1,1,0,1,0,0,-1.48804771819325,35.6056209034545,1646,"111010"
"24",1,1,1,0,1,0,0,-1.87890614872316,38.2105597799854,2823,"111010"
"25",1,1,1,0,1,0,0,-1.37532371142999,31.5506601178586,2022,"111010"
"26",1,1,1,0,1,0,0,-2.16912770611262,32.7006149916936,1255,"111010"
"27",1,1,1,0,1,0,0,-1.86516621846399,41.1561538246947,1691,"111010"
"28",1,1,1,0,1,0,0,-2.68273054903978,30.6786873081966,3414,"111010"
"29",1,1,1,0,1,0,0,-2.72575979851442,35.4487802330544,1362,"111010"
"30",1,1,1,0,1,0,0,-2.20084270390932,38.6275381823737,2845,"111010"
"31",1,1,1,0,1,0,0,-1.92477909313072,42.1451439102639,2333,"111010"
"32",1,1,1,0,1,0,0,-1.56782026905839,23.3407943888926,2005,"111010"
"33",1,1,1,0,1,0,0,-1.99918302707782,33.3528123944018,2937,"111010"
"34",1,1,1,0,1,0,0,-1.85487796940731,26.7171819663016,1628,"111010"
"35",1,1,1,0,1,0,0,-2.55007093515822,37.2990188212943,3122,"111010"
"36",1,1,1,0,1,0,0,-1.39893748107298,31.6207137714205,666,"111010"
"37",1,1,1,0,1,0,0,-1.87984593034321,30.2770161596983,1125,"111010"
"38",1,1,1,0,1,0,0,-1.81962308041855,37.3507043535172,33,"111010"
"39",1,1,1,0,1,0,0,-2.09656631538999,25.8243385206654,1671,"111010"
"40",1,1,1,0,1,0,0,-1.79584607730966,16.4947654172429,2714,"111010"
"41",1,1,1,0,1,0,0,-2.6583861491648,40.9919520916314,946,"111010"
"42",1,1,1,0,1,0,0,-1.96125211613719,37.4831478991292,2718,"111010"
"43",1,1,1,0,1,0,0,-0.99614952467852,28.9942234832458,2372,"111010"
"44",1,1,1,0,1,0,0,-1.55324146980661,29.2950857947969,1117,"111010"
"45",1,1,1,0,1,0,0,-2.0067152049264,47.3427479368459,3186,"111010"
"46",1,1,1,0,1,0,0,-1.90982464419933,25.9929172998143,2648,"111010"
"47",1,1,1,0,1,0,0,-1.95032228185564,40.5179618745884,3379,"111010"
"48",1,1,1,0,1,0,0,-1.84895902879687,42.4272163615955,2742,"111010"
"49",1,1,1,0,1,0,0,-1.21256752379249,39.4081782125311,2336,"111010"
"50",1,1,1,0,1,0,0,-2.05823611332647,35.4239321252077,267,"111010"
"51",1,1,1,0,1,0,0,-1.39799608161801,40.7597828705128,1359,"111010"
"52",1,1,1,0,1,0,0,-2.15022112082468,44.0500900345647,1441,"111010"
"53",1,1,1,0,1,0,0,-1.41316719218155,42.8243054724575,1962,"111010"
"54",1,1,1,0,1,0,0,-1.59289518237078,51.3836953913997,3717,"111010"
"55",1,1,1,0,1,0,0,-1.24301444211426,45.0635330699092,347,"111010"
"56",1,1,1,0,1,0,0,-1.38709377010942,39.7963356219825,2090,"111010"
"57",1,1,1,0,1,0,0,-1.4891912264282,32.8649566298913,3406,"111010"
"58",1,1,1,0,1,0,0,-1.65643888468746,39.3369293421471,2061,"111010"
"59",1,1,1,0,1,0,0,-1.94781784321126,43.0930735499482,3699,"111010"
"60",1,1,1,0,1,0,0,-1.60777755537887,39.2719310497559,1385,"111010"
"61",1,1,1,0,1,0,0,-1.19821217178301,35.2215616135612,729,"111010"
"62",1,1,1,0,1,0,0,-1.72103394238009,44.1691524497951,712,"111010"
"63",1,1,1,0,1,0,0,-1.44405441370176,44.473881443719,656,"111010"
"64",1,1,1,0,1,0,0,-1.710039081744,38.3279815738112,1397,"111010"
"65",1,1,1,0,1,0,0,-1.8618694041547,62.0479972682723,2074,"111010"
"66",1,1,1,0,1,0,0,-2.20117977076902,38.4478867478146,857,"111010"
"67",1,1,1,0,1,0,0,-1.44684249963132,26.7483803505755,2257,"111010"
"68",1,1,1,0,1,0,0,-1.79075393235806,46.7599087806466,1072,"111010"
"69",1,1,1,0,1,0,0,-2.09417742020424,26.5955157827984,1687,"111010"
"70",1,1,1,0,1,0,0,-2.14222592786431,37.4769189878355,2575,"111010"
"71",1,1,1,0,1,0,0,-1.71278999274148,40.7576259569426,3006,"111010"
"72",1,1,1,0,1,0,0,-1.70919049898104,43.9056756527536,3732,"111010"
"73",1,1,1,0,1,0,0,-1.91213148319344,30.4411532295068,482,"111010"
"74",1,1,1,0,1,0,0,-1.94558354451261,39.1065424160817,1341,"111010"
"75",1,1,1,0,1,0,0,-1.67932955102721,38.6680443517742,3204,"111010"
"76",1,1,1,0,1,0,0,-1.97613335914274,31.1730467796137,1763,"111010"
"77",1,1,1,0,1,0,0,-1.2624474558766,31.1795807178052,2318,"111010"
"78",1,1,1,0,1,0,0,-2.21550390974618,28.3553213835095,1059,"111010"
"79",1,1,1,0,1,0,0,-1.64367444031456,29.4397236135091,1290,"111010"
"80",1,1,1,0,1,0,0,-2.36283174315624,50.104587262836,3146,"111010"
"81",1,1,1,0,1,0,0,-2.44492552701,54.6877554107187,1594,"111010"
