"","species","treatment","parameter_type","mean_parameter","median_parameter","hdi_lo","hdi_hi"
"1","ACAM","C","lambda",62.3740515622136,55.7870576481465,20.580482888489,121.933833861919
"2","ACAM","D","lambda",16.0765173583105,13.4570246521502,5.24875447105555,34.4958673944021
"3","AMME","C","lambda",113.767700670781,77.1225732671349,13.9875590662016,325.144724501673
"4","AMME","D","lambda",196.113106784413,177.551179762279,63.5386036627465,366.316422661974
"5","ANAR","C","lambda",329.759817209518,320.196454563076,200.622581028174,487.378252387864
"6","ANAR","D","lambda",256.691129301137,244.768476575197,128.40378036829,408.74533234041
"7","BRHO","C","lambda",201.383745547056,194.563309116542,108.086345592388,302.698537171482
"8","BRHO","D","lambda",192.634471993882,184.967860390848,111.053381391963,293.979046183062
"9","BRNI","C","lambda",637.432632153492,607.258619926255,327.463198182285,986.110736371807
"10","BRNI","D","lambda",602.605325295301,571.150281785431,293.21209211937,991.891220830459
"11","CESO","C","lambda",430.122832716376,403.794367247513,189.053635230927,725.168385242235
"12","CESO","D","lambda",380.920272633829,349.174811308187,150.482495586922,697.195459351126
"13","GITR","C","lambda",279.884861805401,270.249107549022,160.682042305469,428.88567606354
"14","GITR","D","lambda",243.665337971088,232.119214567001,123.664765955889,383.504063043083
"15","LENI","C","lambda",378.793232368158,358.526288505157,174.582667340758,632.076722142358
"16","LENI","D","lambda",396.969205312568,379.829323859647,183.320474843972,622.130548390231
"17","LOMU","C","lambda",642.528285989505,625.464508550437,401.168146586284,938.108307061674
"18","LOMU","D","lambda",609.414162865894,589.540269152943,372.297155799541,918.685992061911
"19","MAEL","C","lambda",671.51740068243,628.092092972823,270.099085820359,1138.01851355303
"20","MAEL","D","lambda",646.052055915302,601.868001457119,238.162692564312,1129.65693831
"21","MICA","C","lambda",229.881335705797,219.714225580859,119.025290562818,371.422052267009
"22","MICA","D","lambda",194.702211909104,181.772312083897,86.3411255347864,321.793534104616
"23","PLER","C","lambda",181.337857240615,177.592233973585,99.8697570074807,262.76837871148
"24","PLER","D","lambda",82.5075859384976,76.8119985483802,42.0453389402949,140.958566181235
"25","PLNO","C","lambda",304.96902822301,292.825541641116,155.98946605299,477.334229543232
"26","PLNO","D","lambda",203.456108974744,180.748551241792,65.2886119917301,409.94564351503
"27","TACA","C","lambda",248.948992543622,243.404871668961,146.97176964018,366.772599899841
"28","TACA","D","lambda",189.640353556759,181.071743595096,102.681146135197,291.153532402014
"29","THIR","C","lambda",76.5979546581799,72.4124606063408,33.4819332751679,124.95714347625
"30","THIR","D","lambda",26.4029122707651,23.7686158909217,12.1297181532692,44.7420280806061
"31","TWIL","C","lambda",25.4216931287224,23.4965073252341,11.7061877409101,43.531146432391
"32","TWIL","D","lambda",20.370669926876,19.0187644486975,9.68998328289004,32.9225319408444
"33","ACAM","C","alpha_acam_c",-0.185189792316271,-0.179651112616758,-0.345585506831869,-0.0460661408946267
"34","ACAM","C","alpha_amme_c",-0.205152065971868,-0.173176589294315,-0.63917154082328,0.146455879203531
"35","ACAM","C","alpha_anar_c",0.00889607910713212,0.00971264974162024,-0.0131418297144764,0.0281507734288729
"36","ACAM","C","alpha_brho_c",0.0238894955722249,0.0255158266496358,-0.0117181166105513,0.056128222546771
"37","ACAM","C","alpha_brni_c",0.0107918955848308,0.0125604593722151,-0.0346410523272556,0.0518300971477736
"38","ACAM","C","alpha_ceso_c",0.682536233298258,0.694344406709251,0.208782330153885,1.08010724336932
"39","ACAM","C","alpha_gitr_c",0.0364926134168869,0.0371600227680679,0.00416760755611692,0.0702833870957842
"40","ACAM","C","alpha_leni_c",0.0363175936251177,0.0380362698465509,-0.0208742450929619,0.0874559929040741
"41","ACAM","C","alpha_lomu_c",-0.0157336368473017,-0.0120317705318836,-0.144031211089132,0.106523009804706
"42","ACAM","C","alpha_mael_c",-0.102778305425546,-0.0927799768745013,-0.488329032931051,0.311930804776238
"43","ACAM","C","alpha_mica_c",-0.0241563011085412,-0.021102612299118,-0.0860760856882404,0.0271684560045986
"44","ACAM","C","alpha_pler_c",0.0281788647957722,0.0291312892301895,-0.00988985465015169,0.0626215361868947
"45","ACAM","C","alpha_plno_c",-0.0220902948708856,-0.0129793043050651,-0.160494970941016,0.108357409400471
"46","ACAM","C","alpha_taca_c",0.396957932121162,0.404017763481018,0.0842620341768102,0.694722597861553
"47","ACAM","C","alpha_thir_c",0.206600854784667,0.217619626362865,-0.10814465782855,0.496311786590088
"48","ACAM","C","alpha_twil_c",0.0251253322213012,0.0355819124646519,-0.1704738889086,0.213050939109054
"49","ACAM","C","alpha_weeds_c",-0.00257231503538662,-0.000957968821555169,-0.141113215856749,0.133173543033247
"50","ACAM","C","alpha_weeds_d",0.013290518043615,0.013291906176221,0.0057599939752325,0.0200724428823442
"51","ACAM","D","alpha_acam_d",-0.196989453579622,-0.182574569624114,-0.622333198727393,0.233068182685106
"52","ACAM","D","alpha_amme_d",0.316565894084367,0.320599033900467,-0.0183907325043487,0.604103465988174
"53","ACAM","D","alpha_anar_d",-0.00744884529899837,-0.00630793062947484,-0.0617396899510269,0.0504071231177809
"54","ACAM","D","alpha_brho_d",-0.0389794656262832,-0.0385266628554617,-0.0614698595467027,-0.0156977636887593
"55","ACAM","D","alpha_brni_d",0.122387994393168,0.122780077532273,0.0561460529346823,0.19638652147904
"56","ACAM","D","alpha_ceso_d",0.306747406123179,0.309673819789368,0.0106007535633401,0.583584465872964
"57","ACAM","D","alpha_gitr_d",0.00401911390603064,0.00416994773457595,-0.0151743685067535,0.0245111640330687
"58","ACAM","D","alpha_leni_d",0.112666943986979,0.113177444729463,0.0492653817535201,0.171754778047481
"59","ACAM","D","alpha_lomu_d",0.137354047012665,0.138283343497267,0.0334135593797134,0.240109175147405
"60","ACAM","D","alpha_mica_d",0.0170426630380326,0.0178358295128873,-0.0160632715021959,0.0495166857269325
"61","ACAM","D","alpha_pler_d",0.0534034340420149,0.0539177101324819,0.0221772485219036,0.0856819330552325
"62","ACAM","D","alpha_taca_d",0.127521166241652,0.128026319179902,0.0448703934240281,0.19682025539168
"63","ACAM","D","alpha_thir_d",0.133053577215456,0.136213017474206,-0.0306934498586241,0.317683003962394
"64","ACAM","D","alpha_twil_d",-0.0410782452679583,-0.0380547646570261,-0.135916082598289,0.0556696561204424
"65","AMME","C","alpha_amme_c",-0.417665055085082,-0.413778422248916,-0.641532522094502,-0.193886576260078
"66","AMME","C","alpha_anar_c",-0.0287896647910076,-0.0282838082140576,-0.0468240048776894,-0.00901489438595827
"67","AMME","C","alpha_brho_c",-0.00330054982565022,-0.00279418036774369,-0.0200255743286748,0.0137538727085244
"68","AMME","C","alpha_brni_c",0.00441816918324761,0.00597821980486705,-0.034301321481925,0.0398855446639413
"69","AMME","C","alpha_ceso_c",-0.0392696154321725,-0.0248401219731616,-0.314144824525269,0.191660997089059
"70","AMME","C","alpha_gitr_c",0.00242253929356957,0.00316521862275789,-0.0191013108967792,0.020796622464456
"71","AMME","C","alpha_leni_c",0.00467070025907227,0.00563099924965845,-0.0270937281109464,0.034453590828619
"72","AMME","C","alpha_lomu_c",-0.0285917844895585,-0.0272387053059575,-0.063596205799877,0.00247821147527588
"73","AMME","C","alpha_mael_c",0.0159411757515348,0.0231840529941669,-0.108606227625968,0.132537867559037
"74","AMME","C","alpha_mica_c",-0.00943969843038473,-0.00897095919945712,-0.0223196062619418,0.0013907701116043
"75","AMME","C","alpha_pler_c",-0.0113684977807203,-0.00985413337070503,-0.0399218797611844,0.0138515570075278
"76","AMME","C","alpha_plno_c",-0.029845555915601,-0.0233987584574343,-0.14161415450907,0.0687815825551283
"77","AMME","C","alpha_taca_c",-0.00672999442830558,-0.00232399679012784,-0.0934289482714924,0.0605794840831641
"78","AMME","C","alpha_thir_c",0.0943099276393952,0.102966201037948,-0.0784886189979097,0.244953185283983
"79","AMME","C","alpha_twil_c",-0.0232802618641743,-0.0135782379672491,-0.199531326400553,0.151556682406874
"80","AMME","C","alpha_weeds_c",-0.00536529441433707,-0.00533005494218332,-0.02396463628109,0.0140174956248229
"81","AMME","C","alpha_weeds_d",0.0222951642914552,0.0225182733262713,0.0126665011337059,0.0315162878800182
"82","AMME","D","alpha_acam_d",-0.15271409849279,-0.124788964899013,-0.624260463657979,0.309865285778845
"83","AMME","D","alpha_anar_d",0.0287407430557593,0.0297455594168034,0.00540197402195575,0.0486165614331446
"84","AMME","D","alpha_brho_d",0.0232211838597024,0.0243403618643167,-0.00643649325104944,0.0493364813069315
"85","AMME","D","alpha_brni_d",0.0390432936064439,0.0399870542887471,0.0133458324181819,0.0641518613143141
"86","AMME","D","alpha_ceso_d",0.0494759311217716,0.0516387862846522,-0.0167369697788133,0.10293816664495
"87","AMME","D","alpha_gitr_d",0.0320521243496532,0.0324916318251696,0.0165936572970694,0.0476598131528144
"88","AMME","D","alpha_leni_d",0.0215466454206382,0.0225403729094802,-0.0115098300353951,0.0479546823632332
"89","AMME","D","alpha_lomu_d",0.0576475595886848,0.0709954227601573,-0.141865413858828,0.23127917557258
"90","AMME","D","alpha_mael_d",0.0665527821002467,0.0790259908016615,-0.237769051129656,0.353012636039478
"91","AMME","D","alpha_mica_d",0.0109453037031505,0.0128513458487331,-0.0172844863078819,0.0390091571725438
"92","AMME","D","alpha_pler_d",0.00812646534202246,0.00883971212591092,-0.015377926920235,0.0315111046778511
"93","AMME","D","alpha_plno_d",-0.0189442103726617,-0.00583227827606736,-0.210080837126575,0.141905499468549
"94","AMME","D","alpha_taca_d",0.00225363209237662,0.00331047941615854,-0.0477940366167095,0.05087031300763
"95","AMME","D","alpha_thir_d",0.0167798685124362,0.0190580254357166,-0.0468196522080203,0.0745206563282572
"96","AMME","D","alpha_twil_d",-0.132070439719587,-0.12976765355182,-0.238137213151633,-0.0422638327194285
"97","ANAR","C","alpha_acam_c",-0.139100882576532,-0.130306849064259,-0.412815261607366,0.117788878297484
"98","ANAR","C","alpha_amme_c",0.176462687195329,0.184052212368698,-0.0729784739036323,0.399958053581435
"99","ANAR","C","alpha_anar_c",0.0497012098533082,0.0507131721028747,0.0154059943102338,0.0809946933997132
"100","ANAR","C","alpha_brho_c",0.0854885369190752,0.0882034764085064,0.0152533900812125,0.14831619871775
"101","ANAR","C","alpha_brni_c",0.0289168038314324,0.0300216702566413,-0.0178634673295219,0.070536753682997
"102","ANAR","C","alpha_ceso_c",0.31830886778091,0.324499972771811,0.162900846168465,0.44959946346027
"103","ANAR","C","alpha_gitr_c",0.0493961701744112,0.0502288100878479,0.0290672328887479,0.0689214526977033
"104","ANAR","C","alpha_leni_c",-0.00102361531612076,0.000378261008127712,-0.0385958734839307,0.0326998279726565
"105","ANAR","C","alpha_lomu_c",0.171529776756974,0.172486534805731,0.116296896898402,0.223710228390297
"106","ANAR","C","alpha_mael_c",0.193270460312376,0.201679160134028,-0.0394587343701722,0.427098388878905
"107","ANAR","C","alpha_mica_c",0.0509829867258101,0.0518065801168329,0.0268009091828092,0.0736980975686161
"108","ANAR","C","alpha_pler_c",0.0627402387365732,0.064248583521151,0.0213669141655416,0.104767964048255
"109","ANAR","C","alpha_plno_c",0.200050658028371,0.208743702864106,-0.00855493008117866,0.408875328636873
"110","ANAR","C","alpha_taca_c",0.0424533301451628,0.0446231834492744,-0.0260938502233522,0.110836309429691
