"","species","treatment","outstrength_scaled","outstrength_raw","type","post.draw"
"1","ACAM","C",0.239214068362351,14.8280768968591,"abs_value",3000
"2","ACAM","D",0.82516614007031,12.2554891377433,"abs_value",3000
"3","ACAM","C",0.108838602033723,6.74653949640649,"net_value",3000
"4","ACAM","D",0.762170190780004,11.3198640135915,"net_value",3000
"5","ACAM","C",-0.0651877331643142,-4.0407687002263,"net_facil",3000
"6","ACAM","D",-0.031497974645153,-0.467812562075918,"net_facil",3000
"7","ACAM","C",0.174026335198037,10.7873081966328,"net_comp",3000
"8","ACAM","D",0.793668165425157,11.7876765756674,"net_comp",3000
"9","ACAM","C",0.270632289678485,17.1081786610797,"abs_value",3117
"10","ACAM","D",0.474386189074582,5.7994712615039,"abs_value",3117
"11","ACAM","C",0.266321858342388,16.8356922201902,"net_value",3117
"12","ACAM","D",-0.229369999064048,-2.80409663784286,"net_value",3117
"13","ACAM","C",-0.00215521566804857,-0.13624322044475,"net_facil",3117
"14","ACAM","D",-0.351878094069315,-4.30178394967338,"net_facil",3117
"15","ACAM","C",0.268477074010436,16.971935440635,"net_comp",3117
"16","ACAM","D",0.122508095005267,1.49768731183052,"net_comp",3117
"17","ACAM","C",0.3843190988196,16.4198708241396,"abs_value",1521
"18","ACAM","D",0.318140200542043,7.36776386868566,"abs_value",1521
"19","ACAM","C",0.0147247193891597,0.629107403286238,"net_value",1521
"20","ACAM","D",0.25646392228476,5.93941167136894,"net_value",1521
"21","ACAM","C",-0.18479718971522,-7.89538171042667,"net_facil",1521
"22","ACAM","D",-0.0308381391286413,-0.714176098658362,"net_facil",1521
"23","ACAM","C",0.19952190910438,8.52448911371291,"net_comp",1521
"24","ACAM","D",0.287302061413401,6.6535877700273,"net_comp",1521
"25","ACAM","C",0.23321298088012,15.8198196086392,"abs_value",3227
"26","ACAM","D",0.671581306471399,7.90060182223929,"abs_value",3227
"27","ACAM","C",-0.00721217615716322,-0.489232311861318,"net_value",3227
"28","ACAM","D",0.250723829660442,2.94955968310363,"net_value",3227
"29","ACAM","C",-0.120212578518642,-8.15452596025025,"net_facil",3227
"30","ACAM","D",-0.210428738405478,-2.47552106956783,"net_facil",3227
"31","ACAM","C",0.113000402361479,7.66529364838893,"net_comp",3227
"32","ACAM","D",0.461152568065921,5.42508075267146,"net_comp",3227
"33","ACAM","C",0.262062320183361,17.3437863403635,"abs_value",3492
"34","ACAM","D",1.16438465758245,9.36176117668338,"abs_value",3492
"35","ACAM","C",-0.239341475863193,-15.8400773405884,"net_value",3492
"36","ACAM","D",1.01008030456401,8.12113979604746,"net_value",3492
"37","ACAM","C",-0.250701898023277,-16.5919318404759,"net_facil",3492
"38","ACAM","D",-0.0771521765092163,-0.620310690317956,"net_facil",3492
"39","ACAM","C",0.0113604221600842,0.751854499887542,"net_comp",3492
"40","ACAM","D",1.08723248107323,8.74145048636542,"net_comp",3492
"41","ACAM","C",0.204676593538543,12.7127597646004,"abs_value",789
"42","ACAM","D",0.306168979741335,3.23474077741859,"abs_value",789
"43","ACAM","C",0.0450186820493424,2.79617556613501,"net_value",789
"44","ACAM","D",0.0675881366158479,0.714083124181065,"net_value",789
"45","ACAM","C",-0.0798289557446001,-4.95829209923271,"net_facil",789
"46","ACAM","D",-0.119290421562743,-1.26032882661876,"net_facil",789
"47","ACAM","C",0.124847637793942,7.75446766536772,"net_comp",789
"48","ACAM","D",0.186878558178591,1.97441195079983,"net_comp",789
"49","ACAM","C",0.182985699410408,14.9847743659513,"abs_value",3351
"50","ACAM","D",1.1925829656025,10.8130214024862,"abs_value",3351
"51","ACAM","C",-0.0281480898151094,-2.30505867983668,"net_value",3351
"52","ACAM","D",-0.910323922250649,-8.25380903333504,"net_value",3351
"53","ACAM","C",-0.105566894612759,-8.64491652289397,"net_facil",3351
"54","ACAM","D",-1.05145344392658,-9.53341521791061,"net_facil",3351
"55","ACAM","C",0.0774188047976492,6.33985784305729,"net_comp",3351
"56","ACAM","D",0.141129521675928,1.27960618457558,"net_comp",3351
"57","ACAM","C",0.253127869327688,12.4049554215253,"abs_value",2238
"58","ACAM","D",0.446841205802854,6.28324928502913,"abs_value",2238
"59","ACAM","C",-0.0292515501688521,-1.43352123501413,"net_value",2238
"60","ACAM","D",-0.0797758089021094,-1.12176604963319,"net_value",2238
"61","ACAM","C",-0.14118970974827,-6.91923832826972,"net_facil",2238
"62","ACAM","D",-0.263308507352482,-3.70250766733116,"net_facil",2238
"63","ACAM","C",0.111938159579418,5.4857170932556,"net_comp",2238
"64","ACAM","D",0.183532698450372,2.58074161769797,"net_comp",2238
"65","ACAM","C",0.111385138401229,11.1611902780098,"abs_value",2401
"66","ACAM","D",0.208277577820328,3.65591206219145,"abs_value",2401
"67","ACAM","C",0.00972913162594857,0.974893876109934,"net_value",2401
"68","ACAM","D",0.0412910874013568,0.724785577359871,"net_value",2401
"69","ACAM","C",-0.0508280033876401,-5.09314820094996,"net_facil",2401
"70","ACAM","D",-0.0834932452094856,-1.46556324241579,"net_facil",2401
"71","ACAM","C",0.0605571350135886,6.06804207705989,"net_comp",2401
"72","ACAM","D",0.124784332610842,2.19034881977566,"net_comp",2401
"73","ACAM","C",0.094490652955608,7.32367891368292,"abs_value",446
"74","ACAM","D",0.276743229109856,4.08945174318391,"abs_value",446
"75","ACAM","C",-0.0144048592310627,-1.11647618579445,"net_value",446
"76","ACAM","D",0.230370758486652,3.4042028883672,"net_value",446
"77","ACAM","C",-0.0544477560933354,-4.22007754973868,"net_facil",446
