"","species","treatment","instrength_scaled","instrength_raw","type","post.draw"
"1","ANAR","C",0.003880573579705,1.56041245731158,"abs_value",3251
"2","ANAR","D",0.0118600659422056,2.05473540513055,"abs_value",3251
"3","ANAR","C",0.00203325033231476,0.817587679298184,"net_value",3251
"4","ANAR","D",0.00896691888409067,1.55350280477853,"net_value",3251
"5","ANAR","C",-0.000923661623695119,-0.371412389006697,"net_facil",3251
"6","ANAR","D",-0.00144657352905749,-0.250616300176009,"net_facil",3251
"7","ANAR","C",0.00295691195600988,1.18900006830488,"net_comp",3251
"8","ANAR","D",0.0104134924131482,1.80411910495454,"net_comp",3251
"9","ANAR","C",0.00622442818884359,2.04528493199341,"abs_value",1784
"10","ANAR","D",0.0126934893680472,2.36960620939804,"abs_value",1784
"11","ANAR","C",0.00244028770549685,0.801854165934037,"net_value",1784
"12","ANAR","D",0.0117203596868618,2.18794346338503,"net_value",1784
"13","ANAR","C",-0.00189207024167337,-0.621715383029687,"net_facil",1784
"14","ANAR","D",-0.000486564840592705,-0.0908313730065083,"net_facil",1784
"15","ANAR","C",0.00433235794717022,1.42356954896372,"net_comp",1784
"16","ANAR","D",0.0122069245274545,2.27877483639153,"net_comp",1784
"17","ANAR","C",0.00489350076912994,1.95752160891341,"abs_value",648
"18","ANAR","D",0.00498307309047706,1.81427468131641,"abs_value",648
"19","ANAR","C",0.00274809024174389,1.09930421701235,"net_value",648
"20","ANAR","D",0.00206849849378954,0.753114469220881,"net_value",648
"21","ANAR","C",-0.00107270526369303,-0.429108695950528,"net_facil",648
"22","ANAR","D",-0.00145728729834376,-0.530580106047764,"net_facil",648
"23","ANAR","C",0.00382079550543691,1.52841291296288,"net_comp",648
"24","ANAR","D",0.0035257857921333,1.28369457526865,"net_comp",648
"25","ANAR","C",0.00264001784332668,1.20381906428384,"abs_value",3684
"26","ANAR","D",0.00868852180228025,2.39006425784091,"abs_value",3684
"27","ANAR","C",0.000469696551673394,0.214176455194073,"net_value",3684
"28","ANAR","D",0.00724099522333675,1.99187436808318,"net_value",3684
"29","ANAR","C",-0.00108516064582664,-0.494821304544882,"net_facil",3684
"30","ANAR","D",-0.00072376328947175,-0.199094944878864,"net_facil",3684
"31","ANAR","C",0.00155485719750004,0.708997759738954,"net_comp",3684
"32","ANAR","D",0.0079647585128085,2.19096931296205,"net_comp",3684
"33","ANAR","C",0.00457094869943737,1.79810640808425,"abs_value",1262
"34","ANAR","D",0.0107922047332222,2.39996555836975,"abs_value",1262
"35","ANAR","C",0.0029924059012835,1.17714386673149,"net_value",1262
"36","ANAR","D",0.0034894629649807,0.775985180060615,"net_value",1262
"37","ANAR","C",-0.000789271399076935,-0.310481270676379,"net_facil",1262
"38","ANAR","D",-0.00365137088412076,-0.811990189154569,"net_facil",1262
"39","ANAR","C",0.00378167730036044,1.48762513740787,"net_comp",1262
"40","ANAR","D",0.00714083384910146,1.58797536921518,"net_comp",1262
"41","ANAR","C",0.00600640908368396,1.5938237109344,"abs_value",3327
"42","ANAR","D",0.0095166627823357,2.46369959541868,"abs_value",3327
"43","ANAR","C",0.00466864791868226,1.23884364969634,"net_value",3327
"44","ANAR","D",0.00920208367059307,2.38226049769568,"net_value",3327
