"","species","treatment","outstrength","type","post.draw"
"102","ACAM","D",-0.443487883914588,"net_facil",1716
"103","ACAM","C",0.0532071677209425,"net_comp",1716
"104","ACAM","D",0.412376622944553,"net_comp",1716
"105","ACAM","C",0.54955034273704,"abs_value",642
"106","ACAM","D",0.672487159043283,"abs_value",642
"107","ACAM","C",-0.362668789178938,"net_value",642
"108","ACAM","D",0.53449443302738,"net_value",642
"109","ACAM","C",-0.456109565957989,"net_facil",642
"110","ACAM","D",-0.0689963630079513,"net_facil",642
"111","ACAM","C",0.0934407767790512,"net_comp",642
"112","ACAM","D",0.603490796035331,"net_comp",642
"113","ACAM","C",0.120619140292468,"abs_value",1156
"114","ACAM","D",0.809379454350177,"abs_value",1156
"115","ACAM","C",-0.10493527504337,"net_value",1156
"116","ACAM","D",-0.632972470590619,"net_value",1156
"117","ACAM","C",-0.112777207667919,"net_facil",1156
"118","ACAM","D",-0.721175962470398,"net_facil",1156
"119","ACAM","C",0.0078419326245491,"net_comp",1156
"120","ACAM","D",0.0882034918797787,"net_comp",1156
"121","ACAM","C",0.42418130764368,"abs_value",2716
"122","ACAM","D",0.282464591238556,"abs_value",2716
"123","ACAM","C",0.308869744609459,"net_value",2716
"124","ACAM","D",0.259705183516558,"net_value",2716
"125","ACAM","C",-0.0576557815171105,"net_facil",2716
"126","ACAM","D",-0.0113797038609991,"net_facil",2716
"127","ACAM","C",0.366525526126569,"net_comp",2716
"128","ACAM","D",0.271084887377557,"net_comp",2716
"129","ACAM","C",0.207928623083905,"abs_value",977
"130","ACAM","D",1.03011809942716,"abs_value",977
"131","ACAM","C",0.014411282051501,"net_value",977
"132","ACAM","D",0.177843623116695,"net_value",977
"133","ACAM","C",-0.0967586705162018,"net_facil",977
"134","ACAM","D",-0.426137238155233,"net_facil",977
"135","ACAM","C",0.111169952567703,"net_comp",977
"136","ACAM","D",0.603980861271928,"net_comp",977
"137","ACAM","C",0.437490213614989,"abs_value",2787
"138","ACAM","D",0.293276696149489,"abs_value",2787
"139","ACAM","C",0.333834634944074,"net_value",2787
"140","ACAM","D",0.0965204879370969,"net_value",2787
"141","ACAM","C",-0.0518277893354574,"net_facil",2787
"142","ACAM","D",-0.0983781041061959,"net_facil",2787
"143","ACAM","C",0.385662424279531,"net_comp",2787
"144","ACAM","D",0.194898592043293,"net_comp",2787
"145","ACAM","C",0.149636975261691,"abs_value",3666
"146","ACAM","D",0.426382280981665,"abs_value",3666
"147","ACAM","C",-0.132525279731496,"net_value",3666
"148","ACAM","D",-0.151434176691015,"net_value",3666
"149","ACAM","C",-0.141081127496594,"net_facil",3666
"150","ACAM","D",-0.28890822883634,"net_facil",3666
"151","ACAM","C",0.0085558477650972,"net_comp",3666
"152","ACAM","D",0.137474052145325,"net_comp",3666
"153","ACAM","C",0.349122148618208,"abs_value",1385
"154","ACAM","D",0.685510237042743,"abs_value",1385
"155","ACAM","C",-0.158496114193703,"net_value",1385
"156","ACAM","D",-0.435644965876462,"net_value",1385
"157","ACAM","C",-0.253809131405955,"net_facil",1385
"158","ACAM","D",-0.560577601459603,"net_facil",1385
"159","ACAM","C",0.0953130172122522,"net_comp",1385
"160","ACAM","D",0.124932635583141,"net_comp",1385
"161","ACAM","C",0.14979660647763,"abs_value",1748
"162","ACAM","D",0.419506618236054,"abs_value",1748
"163","ACAM","C",0.138492040593092,"net_value",1748
"164","ACAM","D",-0.0711756796387889,"net_value",1748
"165","ACAM","C",-0.00565228294226904,"net_facil",1748
"166","ACAM","D",-0.245341148937422,"net_facil",1748
"167","ACAM","C",0.144144323535361,"net_comp",1748
"168","ACAM","D",0.174165469298633,"net_comp",1748
"169","ACAM","C",0.062616710492892,"abs_value",2540
"170","ACAM","D",0.522437590403155,"abs_value",2540
"171","ACAM","C",-0.0101799281860343,"net_value",2540
"172","ACAM","D",0.501348039398956,"net_value",2540
"173","ACAM","C",-0.0363983193394631,"net_facil",2540
"174","ACAM","D",-0.0105447755020998,"net_facil",2540
"175","ACAM","C",0.0262183911534289,"net_comp",2540
"176","ACAM","D",0.511892814901055,"net_comp",2540
"177","ACAM","C",0.094601701812344,"abs_value",359
"178","ACAM","D",0.301175600084394,"abs_value",359
"179","ACAM","C",-0.0813512774364007,"net_value",359
"180","ACAM","D",0.294297937937753,"net_value",359
"181","ACAM","C",-0.0879764896243724,"net_facil",359
"182","ACAM","D",-0.00343883107332042,"net_facil",359
"183","ACAM","C",0.00662521218797165,"net_comp",359
"184","ACAM","D",0.297736769011073,"net_comp",359
"185","ACAM","C",0.307033647081488,"abs_value",3716
"186","ACAM","D",0.396521337117832,"abs_value",3716
"187","ACAM","C",0.263950953748349,"net_value",3716
"188","ACAM","D",0.288819942749931,"net_value",3716
"189","ACAM","C",-0.0215413466665695,"net_facil",3716
"190","ACAM","D",-0.0538506971839505,"net_facil",3716
"191","ACAM","C",0.285492300414918,"net_comp",3716
"192","ACAM","D",0.342670639933881,"net_comp",3716
"193","ACAM","C",0.27017449238483,"abs_value",2061
"194","ACAM","D",0.490059510692502,"abs_value",2061
"195","ACAM","C",0.246672193907835,"net_value",2061
"196","ACAM","D",-0.350011203326477,"net_value",2061
"197","ACAM","C",-0.0117511492384974,"net_facil",2061
"198","ACAM","D",-0.42003535700949,"net_facil",2061
"199","ACAM","C",0.258423343146333,"net_comp",2061
"200","ACAM","D",0.0700241536830128,"net_comp",2061
"201","ACAM","C",0.331053071399942,"abs_value",2331
"202","ACAM","D",0.267890520528814,"abs_value",2331
"203","ACAM","C",0.308410394331707,"net_value",2331
"204","ACAM","D",-0.0870318691782388,"net_value",2331
"205","ACAM","C",-0.0113213385341173,"net_facil",2331
"206","ACAM","D",-0.177461194853526,"net_facil",2331
"207","ACAM","C",0.319731732865824,"net_comp",2331
"208","ACAM","D",0.0904293256752875,"net_comp",2331
"209","ACAM","C",0.121145592151804,"abs_value",2306
"210","ACAM","D",0.376803994613227,"abs_value",2306
"211","ACAM","C",0.115369906229331,"net_value",2306
"212","ACAM","D",0.256860352176151,"net_value",2306
"213","ACAM","C",-0.00288784296123641,"net_facil",2306
"214","ACAM","D",-0.059971821218538,"net_facil",2306
"215","ACAM","C",0.118257749190568,"net_comp",2306
"216","ACAM","D",0.316832173394689,"net_comp",2306
"217","ACAM","C",0.0578621992074705,"abs_value",2085
"218","ACAM","D",0.747908856966074,"abs_value",2085
"219","ACAM","C",0.0441893011371274,"net_value",2085
"220","ACAM","D",-0.143005146473159,"net_value",2085
"221","ACAM","C",-0.00683644903517158,"net_facil",2085
"222","ACAM","D",-0.445457001719617,"net_facil",2085
