"","species","treatment","parameter_type","mean_parameter","median_parameter","hdi_lo","hdi_hi"
"258","LENI","D","alpha_leni",0.00834263370294934,0.00916822977804239,-0.0117496365662545,0.0267707660944565
"259","LENI","D","alpha_lomu",0.0178966176187361,0.019071196082375,-0.0134490811992583,0.0462311153048573
"260","LENI","D","alpha_mael",0.0325845211260853,0.0382810125326645,-0.193697936220919,0.250115428597086
"261","LENI","D","alpha_mica",0.000445712431411732,0.000712731724161187,-0.00929817192895599,0.0095398321883556
"262","LENI","D","alpha_pler",0.0153242129225103,0.0160937880279049,-0.00578691841803967,0.0351935114500584
"263","LENI","D","alpha_plno",0.100684087920357,0.109609822172286,-0.0536062662849607,0.249608181278548
"264","LENI","D","alpha_taca",-0.0125318620422241,-0.0112368003173762,-0.0501247164033992,0.0210834723595846
"265","LENI","D","alpha_thir",-0.0225555271049726,-0.018902588711889,-0.101189559824185,0.0418201977799272
"266","LENI","D","alpha_twil",-0.0642985995499989,-0.0616285414340871,-0.134183301258852,0.00500004165762206
"267","LOMU","C","alpha_acam",0.0826004688749756,0.0866877055290725,-0.122122175119647,0.265515427704434
"268","LOMU","C","alpha_amme",0.0666375913950764,0.0708915046958216,-0.151602411255022,0.281802620810365
