feasibility,niche_diff,fitness_diff,niche_diff_cpd,omega_all,comm_pair_overlap,comm_pair_diff,ACAM,AMME,ANAR,BRHO,BRNI,CESO,GITR,LENI,LOMU,MAEL,MICA,PLER,PLNO,TACA,THIR,TWIL,rainfall,draw,iteration_num
0,-2.371862221,64.62952525,4.00E-04,0,0,4.00E-04,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,1979,0
0,-1.013954248,89.0167598,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,1871,1
0,-1.747439706,83.86113994,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,1013,2
0,-0.730538322,40.37781446,0.0537,0,0,0.0537,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,2509,3
0,-0.454684279,59.36183073,0.0139,0,0,0.0139,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,602,4
0,-1.691527417,80.19494061,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,2794,5
0,-1.884130689,63.62624617,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,3406,6
0,-0.403344733,49.37221532,0.0022,0,0,0.0022,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,860,7
0,-0.984305391,73.15088582,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,2978,8
0,-1.790029503,44.43792439,0.0096,0,0,0.0096,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,1401,9
0,-1.156620439,50.82038698,9.00E-04,0,0,9.00E-04,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,763,10
0,-0.028404394,76.66696726,0.0232,0,0,0.0232,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,192,11
0,-1.42816927,63.85662493,8.00E-04,0,0,8.00E-04,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,1028,12
0,-1.623925471,97.91073436,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,2111,13
0,-0.938339451,61.24327305,0.0237,0,0,0.0237,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,532,14
0,-0.373898893,71.23052154,0.0058,0,0,0.0058,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,2623,15
0,-1.341601147,66.67658851,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,2909,16
0,-3.772375608,72.13749758,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,867,17
0,-1.464836384,51.1591408,6.00E-04,0,0,6.00E-04,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,855,18
0,-1.962820272,69.83203313,1.00E-04,0,0,1.00E-04,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,3071,19
0,-1.968300955,67.50072435,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,1248,20
0,-0.63722393,48.82925559,0.0447,0,0,0.0447,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,2801,21
0,-1.958326487,82.63480296,1.00E-04,0,0,1.00E-04,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,176,22
0,-1.917874839,41.32219172,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,2142,23
0,-0.276501839,60.57416113,2.00E-04,0,0,2.00E-04,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,1684,24
0,-1.648416328,67.34537763,0.0011,0,0,0.0011,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,3254,25
0,-1.944086857,53.97917601,1.00E-04,0,0,1.00E-04,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,2873,26
0,-1.425292212,71.45815522,7.00E-04,0,0,7.00E-04,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,3299,27
0,-2.951798854,61.7207948,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,1532,28
1,1.135257955,46.41767527,0.4373,0,0,0.4373,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,3099,29
0,-1.243337613,73.71456899,0.0126,0,0,0.0126,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,905,30
0,-0.825079504,75.41862321,3.00E-04,0,0,3.00E-04,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,3152,31
0,-0.6682057,72.52489942,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,C,1456,32
