"","ACAM","AMME","ANAR","BRHO","BRNI","CESO","GITR","LENI","LOMU","MAEL","MICA","PLER","PLNO","TACA","THIR","TWIL","comp","richness","fdiv"
"1",0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,"0111000000000100",4,3.28835749298334
"2",0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,"0011010000000100",4,3.10031170517469
"3",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"0011000000001100",4,2.69951903494229
"4",0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,"0011000000000110",4,3.04113042331937
"5",0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,"0011000010000100",4,2.69518451465426
"6",0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,"0011100000000100",4,3.32294560566426
"7",0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,"0011001000000100",4,2.59011029563773
"8",0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,"0011000100000100",4,3.32294560566426
"9",1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,"1011000000000100",4,3.32294560566426
"10",0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,"0011000001000100",4,2.67638903245481
"11",0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,"0011000000100100",4,2.81571562088444
"12",0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,"0011000000010100",4,2.81182833559471
"13",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,"0011000000000101",4,3.32294560566426
"14",0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,"0110010000000100",4,3.68497873901172
"15",0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"0110000000001100",4,2.71131281530284
"16",0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"0110000000000110",4,2.98468318773438
"17",0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"0110000010000100",4,3.75238087274355
