"","ACAM","AMME","ANAR","BRHO","BRNI","CESO","GITR","LENI","LOMU","MAEL","MICA","PLER","PLNO","TACA","THIR","TWIL","comp","richness","fdiv"
"1",0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,"0111010010001110",8,4.48817150314091
"2",0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,"0111110000001110",8,4.92091485428058
"3",0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,"0111011000001110",8,4.04490013041821
"4",0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,"0111010100001110",8,4.67006807164934
"5",1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,"1111010000001110",8,5.18230622170101
"6",0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,"0111010001001110",8,4.40673781168396
"7",0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,"0111010000101110",8,4.61025203244718
"8",0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,"0111010000011110",8,4.09603576736032
"9",0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,"0111010000001111",8,4.60262287106998
"10",0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,"0111110010001100",8,5.07250726185359
"11",0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,"0111011010001100",8,4.23954300832146
"12",0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,"0111010110001100",8,5.094625487767
"13",1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,"1111010010001100",8,5.3167980301
"14",0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,"0111010011001100",8,4.54225009873892
"15",0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,"0111010010101100",8,4.84600964012376
"16",0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,"0111010010011100",8,4.25675804742458
"17",0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,"0111010010001101",8,4.96166539720134
"18",0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,"0111111000001100",8,4.63754008511718
"19",0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,"0111110100001100",8,5.52736883890667
"20",1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,"1111110000001100",8,5.74954138123967
"21",0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,"0111110001001100",8,4.98388572816263
"22",0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,"0111110000101100",8,5.27875299126343
"23",0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,"0111110000011100",8,4.6841892012663
"24",0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,"0111110000001101",8,5.39440874834101
"25",0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,"0111011100001100",8,4.54258152529863
"26",1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,"1111011000001100",8,4.86911692351488
"27",0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,"0111011001001100",8,4.01003411597545
"28",0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,"0111011000101100",8,4.32561868469699
"29",0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,"0111011000011100",8,3.77160845222428
"30",0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,"0111011000001101",8,4.5256164704418
"31",1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,"1111010100001100",8,5.78876020632711
"32",0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,"0111010101001100",8,4.9919085178806
"33",0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,"0111010100101100",8,5.18449561526109
"34",0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,"0111010100011100",8,4.64145875602263
"35",0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,"0111010100001101",8,5.15391488736153
"36",1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,"1111010001001100",8,5.21349985758128
"37",1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,"1111010000101100",8,5.54014435868386
"38",1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,"1111010000011100",8,4.93940260619042
"39",1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,"1111010000001101",8,5.65580011576144
"40",0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,"0111010001101100",8,4.54356446623311
"41",0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,"0111010001011100",8,4.12304454877981
"42",0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,"0111010001001101",8,4.85862006171802
"43",0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,"0111010000111100",8,4.42706610436822
"44",0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,"0111010000101101",8,5.14061740340498
"45",0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,"0111010000011101",8,4.56975585784336
"46",0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,"0111110010000110",8,5.32695516337797
"47",0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,"0111011010000110",8,4.52647474168877
"48",0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,"0111010110000110",8,5.08164775425323
"49",1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,"1111010010000110",8,5.57360988714431
"50",0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,"0111010011000110",8,4.78578150427189
"51",0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,"0111010010100110",8,4.95355300527357
"52",0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,"0111010010010110",8,4.52023126960622
"53",0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,"0111010010000111",8,4.94079784192062
"54",0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,"0111111000000110",8,4.9271921513823
"55",0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,"0111110100000110",8,5.51832733539534
"56",1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,"1111110000000110",8,6.01028946828642
"57",0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,"0111110001000110",8,5.23047673571697
"58",0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,"0111110000100110",8,5.39023258641568
"59",0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,"0111110000010110",8,4.95140335007393
"60",0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,"0111110000000111",8,5.37747742306273
"61",0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,"0111011100000110",8,4.60974008499856
"62",1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,"1111011000000110",8,5.16064720264477
"63",0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,"0111011001000110",8,4.28317988506688
"64",0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,"0111011000100110",8,4.49809511891073
"65",0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,"0111011000010110",8,4.04318781301868
"66",0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,"0111011000000111",8,4.56393147198421
"67",1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,"1111010100000110",8,5.78279369402695
"68",0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,"0111010101000110",8,4.96993540682769
"69",0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,"0111010100100110",8,5.09305439434495
"70",0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,"0111010100010110",8,4.69946566501169
"71",0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,"0111010100000111",8,5.01526481449451
"72",1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,"1111010001000110",8,5.46189753971876
"73",1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,"1111010000100110",8,5.6546989450473
"74",1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,"1111010000010110",8,5.20942752668537
"75",1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,"1111010000000111",8,5.64194378169434
"76",0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,"0111010001100110",8,4.67359213506292
"77",0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,"0111010001010110",8,4.38053110086417
"78",0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,"0111010001000111",8,4.82908549449508
"79",0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,"0111010000110110",8,4.58740240326531
"80",0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,"0111010000100111",8,5.01652993465833
"81",0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,"0111010000010111",8,4.61599840914905
"82",0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,"0111111010000100",8,5.05382308963354
"83",0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,"0111110110000100",8,5.95828254906993
"84",1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,"1111110010000100",8,6.05934586404967
"85",0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,"0111110011000100",8,5.25970332675072
"86",0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,"0111110010100100",8,5.55830310441708
"87",0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,"0111110010010100",8,5.06747956927604
"88",0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,"0111110010000101",8,5.67791441329572
"89",0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,"0111011110000100",8,5.03141754587862
"90",1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,"1111011010000100",8,5.27622282356173
"91",0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,"0111011011000100",8,4.37483027386786
"92",0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,"0111011010100100",8,4.70979087912496
"93",0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,"0111011010010100",8,4.20293504451507
"94",0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,"0111011010000101",8,4.92308696158527
"95",1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,"1111010110000100",8,6.20493727283626
"96",0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,"0111010111000100",8,5.37941420049686
"97",0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,"0111010110100100",8,5.54373085599783
"98",0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,"0111010110010100",8,5.09682673770693
"99",0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,"0111010110000101",8,5.50194397997857
"100",1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,"1111010011000100",8,5.4804775154766
"101",1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,"1111010010100100",8,5.80495782818341
"102",1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,"1111010010010100",8,5.30917192197489
"103",1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,"1111010010000101",8,5.92456913706205
"104",0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,"0111010011100100",8,4.80485995940063
"105",0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,"0111010011010100",8,4.47329759963869
"106",0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,"0111010011000101",8,5.09904606472266
"107",0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,"0111010010110100",8,4.7734918473637
"108",0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,"0111010010100101",8,5.37457385395485
"109",0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,"0111010010010101",8,4.93813151430888
"110",0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,"0111111100000100",8,5.43213755561283
"111",1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,"1111111000000100",8,5.67695127670346
"112",0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,"0111111001000100",8,4.78739960104654
"113",0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,"0111111000100100",8,5.11050815052689
"114",0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,"0111111000010100",8,4.59980869947864
"115",0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,"0111111000000101",8,5.3238142537112
"116",1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,"1111110100000100",8,6.64161685397837
"117",0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,"0111110101000100",8,5.82410943194194
"118",0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,"0111110100100100",8,5.98041043713995
"119",0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,"0111110100010100",8,5.52799881817464
"120",0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,"0111110100000101",8,5.93862356112068
