"","ANAR","BRHO","CESO","LOMU","TACA","THIR","feasibility","niche_diff","fitness_diff","draw"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,1,1,0,1,0,0,-1.85270524535504,37.9615067099204,491
"3",1,1,1,0,1,0,0,-1.25811399321714,36.5460214961633,3721
"4",1,1,1,0,1,0,0,-1.84793797933161,23.321823447012,3402
"5",1,1,1,0,1,0,0,-3.22574712759189,31.8171219290894,368
"6",1,1,1,0,1,0,0,-1.93902130501357,46.5350013204345,1484
"7",1,1,1,0,1,0,0,-2.55339442081904,47.1875817164698,2487
"8",1,1,1,0,1,0,0,-1.96801248130498,52.6958742534563,1608
"9",1,1,1,0,1,0,0,-1.38354524175188,26.0600501838741,1462
"10",1,1,1,0,1,0,0,-2.15105323963289,42.9852025792523,3495
"11",1,1,1,0,1,0,0,-2.13029808834288,20.171354890376,3583
"12",1,1,1,0,1,0,0,-1.39698269486508,37.7972237493398,1747
"13",1,1,1,0,1,0,0,-1.82079885999139,47.291383120191,344
"14",1,1,1,0,1,0,0,-1.37727689634612,38.9760784533246,3343
"15",1,1,1,0,1,0,0,-1.74668607649764,38.5070130360686,2191
"16",1,1,1,0,1,0,0,-2.30521921655475,38.8376595951551,2986
"17",1,1,1,0,1,0,0,-1.60773997289017,37.2297968183016,3527
"18",1,1,1,0,1,0,0,-1.70848310144635,48.4037928532343,3748
"19",1,1,1,0,1,0,0,-1.81143737447919,26.3221476725909,930
"20",1,1,1,0,1,0,0,-2.98559793730301,41.147702877143,1560
"21",1,1,1,0,1,0,0,-1.96333992475629,50.0328063294696,1549
"22",1,1,1,0,1,0,0,-1.71363852633172,22.416867895581,3423
"23",1,1,1,0,1,0,0,-2.70082956956509,31.7552894964911,3464
"24",1,1,1,0,1,0,0,-1.48804771819325,35.6056209034545,1646
"25",1,1,1,0,1,0,0,-1.87890614872316,38.2105597799854,2823
"26",1,1,1,0,1,0,0,-1.37532371142999,31.5506601178586,2022
"27",1,1,1,0,1,0,0,-2.16912770611262,32.7006149916936,1255
"28",1,1,1,0,1,0,0,-1.86516621846399,41.1561538246947,1691
"29",1,1,1,0,1,0,0,-2.68273054903978,30.6786873081966,3414
"30",1,1,1,0,1,0,0,-2.72575979851442,35.4487802330544,1362
"31",1,1,1,0,1,0,0,-2.20084270390932,38.6275381823737,2845
"32",1,1,1,0,1,0,0,-1.92477909313072,42.1451439102639,2333
"33",1,1,1,0,1,0,0,-1.56782026905839,23.3407943888926,2005
"34",1,1,1,0,1,0,0,-1.99918302707782,33.3528123944018,2937
"35",1,1,1,0,1,0,0,-1.85487796940731,26.7171819663016,1628
"36",1,1,1,0,1,0,0,-2.55007093515822,37.2990188212943,3122
"37",1,1,1,0,1,0,0,-1.39893748107298,31.6207137714205,666
"38",1,1,1,0,1,0,0,-1.87984593034321,30.2770161596983,1125
"39",1,1,1,0,1,0,0,-1.81962308041855,37.3507043535172,33
"40",1,1,1,0,1,0,0,-2.09656631538999,25.8243385206654,1671
"41",1,1,1,0,1,0,0,-1.79584607730966,16.4947654172429,2714
"42",1,1,1,0,1,0,0,-2.6583861491648,40.9919520916314,946
"43",1,1,1,0,1,0,0,-1.96125211613719,37.4831478991292,2718
"44",1,1,1,0,1,0,0,-0.99614952467852,28.9942234832458,2372
"45",1,1,1,0,1,0,0,-1.55324146980661,29.2950857947969,1117
"46",1,1,1,0,1,0,0,-2.0067152049264,47.3427479368459,3186
"47",1,1,1,0,1,0,0,-1.90982464419933,25.9929172998143,2648
"48",1,1,1,0,1,0,0,-1.95032228185564,40.5179618745884,3379
"49",1,1,1,0,1,0,0,-1.84895902879687,42.4272163615955,2742
"50",1,1,1,0,1,0,0,-1.21256752379249,39.4081782125311,2336
"51",1,1,1,0,1,0,0,-2.05823611332647,35.4239321252077,267
"52",1,1,1,0,1,0,0,-1.39799608161801,40.7597828705128,1359
"53",1,1,1,0,1,0,0,-2.15022112082468,44.0500900345647,1441
"54",1,1,1,0,1,0,0,-1.41316719218155,42.8243054724575,1962
"55",1,1,1,0,1,0,0,-1.59289518237078,51.3836953913997,3717
"56",1,1,1,0,1,0,0,-1.24301444211426,45.0635330699092,347
"57",1,1,1,0,1,0,0,-1.38709377010942,39.7963356219825,2090
"58",1,1,1,0,1,0,0,-1.4891912264282,32.8649566298913,3406
"59",1,1,1,0,1,0,0,-1.65643888468746,39.3369293421471,2061
"60",1,1,1,0,1,0,0,-1.94781784321126,43.0930735499482,3699
"61",1,1,1,0,1,0,0,-1.60777755537887,39.2719310497559,1385
"62",1,1,1,0,1,0,0,-1.19821217178301,35.2215616135612,729
"63",1,1,1,0,1,0,0,-1.72103394238009,44.1691524497951,712
"64",1,1,1,0,1,0,0,-1.44405441370176,44.473881443719,656
"65",1,1,1,0,1,0,0,-1.710039081744,38.3279815738112,1397
"66",1,1,1,0,1,0,0,-1.8618694041547,62.0479972682723,2074
"67",1,1,1,0,1,0,0,-2.20117977076902,38.4478867478146,857
"68",1,1,1,0,1,0,0,-1.44684249963132,26.7483803505755,2257
"69",1,1,1,0,1,0,0,-1.79075393235806,46.7599087806466,1072
"70",1,1,1,0,1,0,0,-2.09417742020424,26.5955157827984,1687
"71",1,1,1,0,1,0,0,-2.14222592786431,37.4769189878355,2575
"72",1,1,1,0,1,0,0,-1.71278999274148,40.7576259569426,3006
"73",1,1,1,0,1,0,0,-1.70919049898104,43.9056756527536,3732
"74",1,1,1,0,1,0,0,-1.91213148319344,30.4411532295068,482
"75",1,1,1,0,1,0,0,-1.94558354451261,39.1065424160817,1341
"76",1,1,1,0,1,0,0,-1.67932955102721,38.6680443517742,3204
"77",1,1,1,0,1,0,0,-1.97613335914274,31.1730467796137,1763
"78",1,1,1,0,1,0,0,-1.2624474558766,31.1795807178052,2318
"79",1,1,1,0,1,0,0,-2.21550390974618,28.3553213835095,1059
"80",1,1,1,0,1,0,0,-1.64367444031456,29.4397236135091,1290
"81",1,1,1,0,1,0,0,-2.36283174315624,50.104587262836,3146
"82",1,1,1,0,1,0,0,-2.44492552701,54.6877554107187,1594
"83",1,1,1,0,1,0,0,-1.77454390125723,35.872095631483,2727
"84",1,1,1,0,1,0,0,-2.29981558140349,31.7369056166164,2960
"85",1,1,1,0,1,0,0,-1.1821820653467,54.7312121000675,3738
"86",1,1,1,0,1,0,0,-1.81630617931106,28.8054179254856,1567
"87",1,1,1,0,1,0,0,-1.40992305319004,28.9071809816161,1930
"88",1,1,1,0,1,0,0,-1.67536616235971,36.6639369191764,3714
"89",1,1,1,0,1,0,0,-1.90847381052728,30.5067284513457,435
"90",1,1,1,0,1,0,0,-1.71984766795307,36.0610038529438,1461
"91",1,1,1,0,1,0,0,-1.52701342672999,24.534094647504,2661
"92",1,1,1,0,1,0,0,-1.77318375218055,38.957423047733,1967
"93",1,1,1,0,1,0,0,-2.08286990096463,53.9637623320187,2087
"94",1,1,1,0,1,0,0,-1.83327038241454,38.1548683388052,2137
"95",1,1,1,0,1,0,0,-1.65357440970177,27.1017415243164,2578
"96",1,1,1,0,1,0,0,-1.44794219309035,20.5989440955551,899
"97",1,1,1,0,1,0,0,-1.81702674241416,43.438761646824,3030
"98",1,1,1,0,1,0,0,-1.48828855747203,40.7652661831801,2602
"99",1,1,1,0,1,0,0,-1.26141961416074,32.4860623003534,394
"100",1,1,1,0,1,0,0,-1.27091737452733,37.1077085586164,3326
"101",1,1,1,0,1,0,0,-2.26418367081299,45.9961197596105,2240
"102",1,1,1,0,1,0,0,-2.16792262009253,36.3331901090476,1979
"103",1,1,1,0,1,0,0,-2.61490940262094,47.3288013160947,1871
"104",1,1,1,0,1,0,0,-2.68095562512103,35.4189295479869,1013
"105",1,1,1,0,1,0,0,-1.66987196530092,45.8607504751647,2509
"106",1,1,1,0,1,0,0,-1.2630328511538,19.9145234131321,602
"107",1,1,1,0,1,0,0,-1.55377542660213,34.9657595950169,2794
"108",1,1,1,0,1,0,0,-1.93534311390149,41.8326679560367,3694
"109",1,1,1,0,1,0,0,-1.37679736586052,31.4964265658442,860
"110",1,1,1,0,1,0,0,-1.32255429903957,50.2032887744575,2978
"111",1,1,1,0,1,0,0,-3.81062556729171,31.4912812825549,1401
"112",1,1,1,0,1,0,0,-1.5572674667326,46.033563477514,763
"113",1,1,1,0,1,0,0,-1.91588358646174,26.0179768097018,192
"114",1,1,1,0,1,0,0,-1.93861714801927,28.3781363412968,1028
"115",1,1,1,0,1,0,0,-1.75783860835258,55.7472252903636,2111
"116",1,1,1,0,1,0,0,-2.23592961220036,38.7341437918913,532
"117",1,1,1,0,1,0,0,-1.86580043359746,44.0878047800203,2623
"118",1,1,1,0,1,0,0,-1.73588163697159,41.2441442038133,2909
"119",1,1,1,0,1,0,0,-2.26188422186652,30.2187416404875,867
"120",1,1,1,0,1,0,0,-2.56332424315896,41.6324900167947,855
"121",1,1,1,0,1,0,0,-1.32384761352989,33.0555414064653,3071
"122",1,1,1,0,1,0,0,-2.46280537814653,36.7789888061931,1248
"123",1,1,1,0,1,0,0,-2.55008012785824,33.1543151165052,2801
"124",1,1,1,0,1,0,0,-2.60974071767742,37.2591274054687,176
