"","ANAR","BRHO","BRNI","CESO","LOMU","TACA","THIR","feasibility","niche_diff","fitness_diff","draw"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,1,1,1,0,0,0,0,-1.96238144143279,29.7448922647761,491
"3",1,1,1,1,0,0,0,0,-1.35749910738806,45.583240549471,3721
"4",1,1,1,1,0,0,0,0,-1.35439160120756,22.2805014987867,3402
"5",1,1,1,1,0,0,0,0,-2.1457629438464,39.4106694021274,368
"6",1,1,1,1,0,0,0,0,-2.04855714894876,27.750771373854,1484
"7",1,1,1,1,0,0,0,0,-1.7094142438809,33.7080170022087,2487
"8",1,1,1,1,0,0,0,0,-1.46587267657805,39.5999881339112,1608
"9",1,1,1,1,0,0,0,0,-2.26635689847148,36.0505756689536,1462
"10",1,1,1,1,0,0,0,0,-0.94009226366082,25.2327394739637,3495
"11",1,1,1,1,0,0,0,0,-2.32847568509791,43.6110451010269,3583
"12",1,1,1,1,0,0,0,0,-1.12207538635955,40.7863598370849,1747
"13",1,1,1,1,0,0,0,0,-1.57940576253617,36.9844611967002,344
"14",1,1,1,1,0,0,0,0,-1.79238286672123,26.0939164022041,3343
"15",1,1,1,1,0,0,0,0,-3.43293173752624,41.9216135962081,2191
"16",1,1,1,1,0,0,0,0,-2.04867093162477,48.4909914914552,2986
"17",1,1,1,1,0,0,0,0,-1.96790546560606,11.7530253288697,3527
"18",1,1,1,1,0,0,0,0,-1.84435661740299,33.6981230966976,3748
"19",1,1,1,1,0,0,0,0,-0.901694573858955,25.2293685875158,930
"20",1,1,1,1,0,0,0,0,-1.59680146581066,45.2628732744513,1560
"21",1,1,1,1,0,0,0,0,-1.13405852132203,31.7187619040733,1549
"22",1,1,1,1,0,0,0,0,-1.70807026805469,40.3633331264301,3423
"23",1,1,1,1,0,0,0,0,-1.50825997630695,44.2862744693744,3464
"24",1,1,1,1,0,0,0,0,-1.12743261162681,53.188625601524,1646
"25",1,1,1,1,0,0,0,0,-3.01603517836935,52.5066315060076,2823
"26",1,1,1,1,0,0,0,0,-2.09462750724134,39.5902876039122,2022
"27",1,1,1,1,0,0,0,0,-2.61614836131352,28.0834131590777,1255
"28",1,1,1,1,0,0,0,0,-1.82030256923884,37.0021118166378,1691
"29",1,1,1,1,0,0,0,0,-1.77163447222353,53.6446268505865,3414
"30",1,1,1,1,0,0,0,0,-2.12062821529969,37.5941987012763,1362
"31",1,1,1,1,0,0,0,0,-1.72330908680403,33.639415502549,2845
"32",1,1,1,1,0,0,0,0,-2.26305213889646,44.576391621723,2333
"33",1,1,1,1,0,0,0,0,-4.07340101081101,47.8948063407805,2005
"34",1,1,1,1,0,0,0,0,-2.05764979298462,30.7048249525163,2937
"35",1,1,1,1,0,0,0,0,-1.84750395259389,53.1379962280362,1628
"36",1,1,1,1,0,0,0,0,-2.55343996199545,51.8200689175093,3122
"37",1,1,1,1,0,0,0,0,-2.26048180203454,53.7787272078373,666
"38",1,1,1,1,0,0,0,0,-1.14413155771406,48.712522923361,1125
"39",1,1,1,1,0,0,0,0,-1.41320403006653,32.8130617791374,33
"40",1,1,1,1,0,0,0,0,-1.25257026472391,28.3613738181308,1671
"41",1,1,1,1,0,0,0,0,-2.3932259694846,18.7736032567136,2714
"42",1,1,1,1,0,0,0,0,-1.81278795145593,31.195209603948,946
"43",1,1,1,1,0,0,0,0,-0.805249429352077,56.7083854935134,2718
"44",1,1,1,1,0,0,0,0,-3.16468983940191,36.6062925248227,2372
"45",1,1,1,1,0,0,0,0,-1.68453043757414,46.7588441112996,1117
"46",1,1,1,1,0,0,0,0,-2.11148456637649,31.3549144707663,3186
"47",1,1,1,1,0,0,0,0,-2.42423817395139,47.0607097513618,2648
"48",1,1,1,1,0,0,0,0,-2.55446620230597,33.2663146437419,3379
"49",1,1,1,1,0,0,0,0,-1.06750256486926,41.0660643445367,2742
"50",1,1,1,1,0,0,0,0,-2.01798752617922,26.1540459100145,2336
"51",1,1,1,1,0,0,0,0,-2.02270017908317,42.4623750562357,267
"52",1,1,1,1,0,0,0,0,-2.39189592855709,37.8901134416749,1359
"53",1,1,1,1,0,0,0,0,-1.9665958473855,38.0279510876645,1441
"54",1,1,1,1,0,0,0,0,-2.03817528802306,31.9157422915073,1962
"55",1,1,1,1,0,0,0,0,-3.19030006233623,30.6467967132196,3717
"56",1,1,1,1,0,0,0,0,-1.60896876198004,43.3127872066102,347
"57",1,1,1,1,0,0,0,0,-2.15479479410774,29.8698440019044,2090
"58",1,1,1,1,0,0,0,0,-1.81316541478343,33.0165601649045,3406
"59",1,1,1,1,0,0,0,0,-1.59890613478833,42.5275238648101,2061
"60",1,1,1,1,0,0,0,0,-0.998085189486366,45.9354285525788,3699
"61",1,1,1,1,0,0,0,0,-1.83096312389746,37.4528878929434,1385
"62",1,1,1,1,0,0,0,0,-1.52770858218552,27.9530435774031,729
"63",1,1,1,1,0,0,0,0,-1.56796162717523,48.7268451868546,712
"64",1,1,1,1,0,0,0,0,-1.91768793374177,42.1695978807052,656
"65",1,1,1,1,0,0,0,0,-1.10937868934481,43.7800066356042,1397
"66",1,1,1,1,0,0,0,0,-1.89638805612696,34.9711205535697,2074
"67",1,1,1,1,0,0,0,0,-1.1017700339426,48.552548087066,857
"68",1,1,1,1,0,0,0,0,-1.97753715703207,46.9039933841357,2257
"69",1,1,1,1,0,0,0,0,-1.38762875165975,37.5099133974167,1072
"70",1,1,1,1,0,0,0,0,-3.22184463008911,32.2193641934064,1687
"71",1,1,1,1,0,0,0,0,-2.21044564862485,24.6822547026178,2575
"72",1,1,1,1,0,0,0,0,-2.25932319496201,31.3511741192448,3006
"73",1,1,1,1,0,0,0,0,-1.88916529187612,44.836032875377,3732
"74",1,1,1,1,0,0,0,0,-2.45418272273115,35.5087976995658,482
"75",1,1,1,1,0,0,0,0,-2.27328095124,49.2348473132107,1341
"76",1,1,1,1,0,0,0,0,-1.18990738821995,24.3513269835566,3204
"77",1,1,1,1,0,0,0,0,-2.0257673471462,35.7307640831599,1763
"78",1,1,1,1,0,0,0,0,-2.60115267045319,32.869165927791,2318
"79",1,1,1,1,0,0,0,0,-1.86715268685557,61.8865051433799,1059
"80",1,1,1,1,0,0,0,0,-2.25925589603574,56.5107886923583,1290
"81",1,1,1,1,0,0,0,0,-2.28874451936045,47.9948511411118,3146
"82",1,1,1,1,0,0,0,0,-1.12017489568632,29.0135890076817,1594
"83",1,1,1,1,0,0,0,0,-1.43053911663944,48.0258081041858,2727
"84",1,1,1,1,0,0,0,0,-1.90159082832595,51.4920787995555,2960
