"cwm.height","cwm.ldmc","cwm.sla","cwm.rmf","cwm.crsl","cwm.pf","cwm.d","ACAM","AMME","ANAR","BRHO","BRNI","CESO","GITR","LENI","LOMU","MAEL","MICA","PLER","PLNO","TACA","THIR","TWIL","richness"
46.95,0.176135212206667,261.092370838667,0.46431681242,4265.06914119,0.768024321223333,0.572758,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,10
45.78,0.180376408003333,261.345167475667,0.447647285353333,4356.42608939333,0.77396459501,0.572136666666667,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,10
44.55,0.175826380453333,250.450904255667,0.447442731786667,4081.22529619333,0.773339191443333,0.569908333333333,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,10
46.35,0.180476834236667,249.858453899,0.449578289886667,4030.53773672667,0.775693914243333,0.561391666666667,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,10
48.01,0.18979534792,259.038883295667,0.46668439112,4032.98248926,0.778112089543333,0.563283333333333,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,10
44.65,0.184925972786667,249.547656670667,0.43866081198,4157.71583211,0.774853967063333,0.57094,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,10
46.58,0.18833457182,249.082205500667,0.441617555436667,4183.31668631,0.76611147181,0.583758333333333,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,10
43.49,0.17582583414,259.551881162,0.44450258137,4721.28710570667,0.77790274069,0.562931333333333,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,10
42.26,0.17127580659,248.657617942,0.444298027803333,4446.08631250667,0.777277337123333,0.560703,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,10
44.06,0.175926260373333,248.065167585333,0.446433585903333,4395.39875304,0.779632059923333,0.552186333333333,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,10
45.72,0.185244774056667,257.245596982,0.463539687136667,4397.84350557333,0.782050235223333,0.554078,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,10
42.36,0.180375398923333,247.754370357,0.435516107996667,4522.57684842333,0.778792112743333,0.561734666666667,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,10
