"cwm.height","cwm.ldmc","cwm.sla","cwm.rmf","cwm.crsl","cwm.pf","cwm.d","ACAM","AMME","ANAR","BRHO","BRNI","CESO","GITR","LENI","LOMU","MAEL","MICA","PLER","PLNO","TACA","THIR","TWIL","richness"
37.8933333333333,0.181476524782222,262.419917421333,0.446073267297778,4166.62430321556,0.79156894454,0.533812,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,15
39.18,0.183748924137778,262.109616641333,0.448044429602222,4183.69153934889,0.785740614371111,0.542357555555556,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,15
36.94,0.180502674048889,255.782132224667,0.429362043508889,4266.84710124889,0.783568532717778,0.547462,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,15
38.0466666666667,0.186715016504444,261.902418489111,0.440766110997778,4268.47693627111,0.785180649584444,0.548723111111111,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,15
39.2466666666667,0.189815319026667,261.507451584667,0.442189816397778,4234.68522996,0.786750464784444,0.543045333333333,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,15
38.4266666666667,0.186781967326667,254.244609438,0.442053447353333,4051.21803449333,0.786333529073333,0.541559777777778,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,15
37.6466666666667,0.189609431191111,254.413140529333,0.430940429308889,4112.12266662889,0.790293711597778,0.541145555555556,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,15
36.12,0.186575715282222,253.217616320222,0.428843959986667,4355.36334417111,0.792919142051111,0.535008666666667,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,15
39.3466666666667,0.182936292926667,265.859336020889,0.440969429586667,4061.41063252667,0.785640337951111,0.541718666666667,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,15
38.7066666666667,0.189345982648889,260.831048943556,0.432415318331111,4189.82874306,0.786636246528889,0.541715333333333,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,15
33.0133333333333,0.189059682631111,260.614520572,0.430274656855556,4193.14724202889,0.792364015037778,0.540704222222222,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,15
29.36,0.187680077337778,262.557775851333,0.441511305553333,4115.44624680444,0.790939438606667,0.529892,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,15
37.24,0.185634065582222,254.635111941333,0.427115700131111,4291.24461888222,0.789442034895556,0.534928666666667,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,15
38.9566666666667,0.188627213697778,253.536963410667,0.440454207015556,4200.85434189556,0.784097015691111,0.545750888888889,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,15
36.6066666666667,0.188594605571111,264.280261326889,0.449854089997778,4244.98445456,0.78907833814,0.539863111111111,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
38.57,0.177747360371111,263.801775004667,0.445965508708889,4048.54571613778,0.800826547195556,0.517676444444444,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
