"cwm.height","cwm.ldmc","cwm.sla","cwm.rmf","cwm.crsl","cwm.pf","cwm.d","ACAM","AMME","ANAR","BRHO","BRNI","CESO","GITR","LENI","LOMU","MAEL","MICA","PLER","PLNO","TACA","THIR","TWIL","richness"
48.175,0.181803451629167,240.24470871125,0.438283315295833,4461.74990892917,0.773209611429167,0.577395833333333,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,8
54.225,0.1749795347125,263.94793315,0.461018570795833,3910.58857459583,0.759561853741667,0.589977083333333,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,8
51.3625,0.169291317383333,261.706325257917,0.457087690816667,4366.6648449875,0.764484535841667,0.578470416666667,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,8
49.9,0.174592812129167,262.022321054167,0.436250781983333,4480.86103024167,0.771909878075,0.57769375,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,8
48.3625,0.168905277691667,248.404492029167,0.435995090025,4136.86003874167,0.771128123616667,0.574908333333333,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,8
50.6125,0.174718344920833,247.663929083333,0.43866453765,4073.50058940833,0.774071527116667,0.5642625,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,8
52.6875,0.186366487025,259.139465829167,0.460047164191667,4076.556530075,0.777094246241667,0.566627083333333,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,8
48.4875,0.180279768108333,247.275432547917,0.425017690266667,4232.4732086375,0.773021593141667,0.576197916666667,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,8
50.9,0.1845405169,246.693618585417,0.4287136195875,4264.4742763875,0.762093474075,0.592220833333333,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,8
53.025,0.186997702941667,254.51989488,0.444979612191667,4151.37253184583,0.761429182325,0.589970833333333,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,8
50.1625,0.1813094856125,252.278286987917,0.4410487322125,4607.4488022375,0.766351864425,0.578464166666667,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,8
48.7,0.186610980358333,252.594282784167,0.420211823379167,4721.64498749167,0.773777206658333,0.5776875,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,8
47.1625,0.180923445920833,238.976453759167,0.419956131420833,4377.64399599167,0.7729954522,0.574902083333333,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,8
49.4125,0.18673651315,238.235890813333,0.422625579045833,4314.28454665833,0.7759388557,0.56425625,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,8
51.4875,0.198384655254167,249.711427559167,0.4440082055875,4317.340487325,0.778961574825,0.566620833333333,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,8
47.2875,0.1922979363375,237.847394277917,0.4089787316625,4473.2571658875,0.774888921725,0.576191666666667,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,8
49.7,0.196558685129167,237.265580315417,0.412674660983333,4505.2582336375,0.763960802658333,0.592214583333333,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,8
